Column1,names,allpos,pvalRandom,pvalFamily,average
402,AY106137,808.46,1.72E-11,4.17E-07,2.08509E-07
585,IDP2390,1304.33,8.11E-11,4.33E-07,2.16541E-07
659,npi242a,1456.02,4.37E-07,7.64E-10,2.19006E-07
584,gpm216a,1302.04,6.69E-11,4.43E-07,2.21533E-07
401,umc1914,808.35,1.52E-11,4.51E-07,2.25508E-07
2788,gpm59b,6198.21,1.64E-10,4.81E-07,2.40582E-07
200,IDP1986,402.87,4.98E-07,1.98E-12,2.49183E-07
2849,umc1700,6296.88,5.43E-07,2.35E-08,2.8337E-07
656,IDP1415,1448.18,6.13E-07,2.42E-10,3.06452E-07
205,mmp61,410.98,6.19E-07,4.20E-14,3.09357E-07
2207,umc2177,4757,6.66E-07,1.70E-10,3.33197E-07
849,gpm365a,1747.28,6.26E-07,1.47E-07,3.86534E-07
201,csu3,403.37,7.98E-07,5.12E-13,3.9891E-07
660,umc8b,1456.52,8.51E-07,1.67E-09,4.2644E-07
573,bnlg2277,1284.11,2.49E-11,8.81E-07,4.40512E-07
658,gpm300,1455.51,9.13E-07,1.40E-10,4.56351E-07
1691,umc2294,3760.51,3.25E-07,6.94E-07,5.09536E-07
2182,AY104289,4706.33,1.09E-06,4.89E-08,5.69093E-07
575,gpm575a,1284.4,2.39E-09,1.15E-06,5.76196E-07
198,umc2112,399.67,1.24E-06,2.29E-12,6.19827E-07
588,umc6a,1305.82,1.62E-09,1.26E-06,6.3081E-07
661,umc2088,1457.72,1.28E-06,2.98E-10,6.39585E-07
2850,umc2087,6297.38,1.25E-06,8.73E-08,6.68207E-07
2789,IDP4038,6200.56,1.75E-11,1.53E-06,7.65009E-07
2181,AY109797,4703.83,1.21E-07,1.45E-06,7.85259E-07
1334,gpm174b,3004.67,1.58E-06,3.87E-12,7.87721E-07
2179,gpm728a,4692.88,1.08E-06,6.79E-07,8.81615E-07
1329,jpsb527b,2990.41,1.77E-06,3.45E-10,8.83692E-07
574,gpm786,1284.34,5.69E-09,1.87E-06,9.37843E-07
1337,gpm50b,3007.66,2.15E-06,4.29E-08,1.09725E-06
2190,gpm881,4726.95,7.73E-07,1.61E-06,1.19141E-06
902,mmp38,1912.61,6.83E-07,1.84E-06,1.26153E-06
2199,gpm283a,4743.07,2.09E-06,7.80E-07,1.43327E-06
2195,php20599,4737.93,2.05E-06,9.26E-07,1.48846E-06
2189,IDP3790,4725.05,6.43E-07,2.41E-06,1.52663E-06
657,umc2030,1454.52,3.22E-06,1.74E-11,1.60882E-06
1323,bnl8.45c,2977.57,2.63E-06,7.69E-07,1.69935E-06
1327,IDP454,2984.03,3.62E-06,2.19E-10,1.80899E-06
664,gpm622b,1460.94,3.70E-06,8.43E-10,1.85245E-06
195,gpm198,398.44,3.76E-06,7.54E-11,1.87856E-06
600,gpm69,1332.52,4.74E-06,1.44E-07,2.4421E-06
1328,umc1963,2985.71,5.31E-06,3.50E-11,2.65674E-06
2470,gpm409b,5369.18,5.79E-06,2.25E-10,2.89631E-06
591,IDP1954,1316.37,5.17E-06,8.02E-07,2.98604E-06
1330,zp1,2992.21,6.28E-06,8.37E-09,3.14567E-06
1695,IDP1660,3765.06,6.33E-07,6.05E-06,3.34156E-06
2201,chr118,4746.88,5.09E-06,1.89E-06,3.49005E-06
601,IDP668,1332.93,6.92E-06,1.16E-07,3.51645E-06
197,bnlg2086,399.57,7.19E-06,1.65E-12,3.59622E-06
577,bnlg1327,1289.11,1.49E-07,7.48E-06,3.81469E-06
2183,gpm572a,4708.03,8.42E-06,1.65E-08,4.21872E-06
1694,IDP486,3761.91,5.42E-06,3.06E-06,4.23882E-06
2200,gpm44a,4744.95,8.25E-06,4.84E-07,4.36554E-06
410,csu696,819.95,6.95E-10,9.50E-06,4.75035E-06
411,rz403,824.25,1.78E-10,1.04E-05,5.20009E-06
208,mmp39,423.58,1.04E-05,6.33E-12,5.21271E-06
604,mmp33,1344.12,1.16E-05,3.95E-07,6.01462E-06
1692,hag101,3761.03,9.27E-07,1.20E-05,6.46348E-06
602,umc61,1334.32,1.30E-05,4.84E-09,6.51204E-06
593,IDP601,1318.06,1.29E-05,7.12E-07,6.78748E-06
204,IDP751,410.97,1.44E-05,6.61E-12,7.17688E-06
2192,npi561,4731.93,1.09E-05,4.15E-06,7.51991E-06
1856,gpm893,4026.69,1.61E-05,8.44E-08,8.08038E-06
2790,gpm78a,6203.64,2.00E-09,1.83E-05,9.151E-06
194,gpm532,397.34,1.87E-05,7.13E-12,9.35219E-06
413,chrom7,831.45,2.19E-08,2.08E-05,1.04109E-05
576,IDP4006,1287.92,8.54E-08,2.24E-05,1.12427E-05
663,bnlg121,1460.32,2.25E-05,2.96E-08,1.12695E-05
2306,umc1932,4959.84,4.45E-08,2.29E-05,1.14723E-05
406,gpm838c,810.37,1.53E-10,2.30E-05,1.15001E-05
2202,gpm717c,4747.84,5.91E-06,1.91E-05,1.25053E-05
196,IDP376,398.98,2.51E-05,2.28E-10,1.25274E-05
903,gpm668e,1912.81,1.08E-06,2.46E-05,1.284E-05
2500,csu332,5485.15,2.66E-05,8.61E-13,1.33053E-05
190,umc2229,395.66,2.72E-05,2.89E-15,1.36061E-05
831,gpm807,1715.03,3.63E-06,2.39E-05,1.37659E-05
662,sdg102a,1458.12,2.80E-05,1.74E-09,1.4019E-05
578,myb5,1290.21,2.85E-05,1.61E-08,1.42421E-05
2196,mmp105,4739.73,2.60E-05,3.54E-06,1.47649E-05
2502,mmp85,5499.6,3.07E-05,1.09E-11,1.53555E-05
1331,mmc0471a,2992.22,3.07E-05,9.72E-09,1.53682E-05
1693,gpm564,3761.15,2.21E-05,1.20E-05,1.70635E-05
589,gpm753f,1314.25,7.72E-06,2.70E-05,1.73602E-05
409,IDP3841,816.54,1.36E-09,3.56E-05,1.78007E-05
207,umc2025,415.38,3.58E-05,2.79E-12,1.78992E-05
917,bnlg1647,1973.31,3.59E-05,3.80E-12,1.79633E-05
2496,gpm600,5466.43,3.73E-05,7.67E-10,1.86718E-05
2184,gpm239b,4709.93,4.05E-05,4.69E-08,2.02598E-05
2206,IDP2005,4755,1.21E-05,2.89E-05,2.0484E-05
193,gpm181,397.33,4.20E-05,3.48E-12,2.09833E-05
654,IDP2346,1445.67,4.52E-07,4.19E-05,2.11758E-05
653,gpm594,1444.02,1.13E-07,4.36E-05,2.18565E-05
412,IDP3803,827.04,7.83E-08,4.54E-05,2.27391E-05
2193,gpm814,4734.31,2.48E-05,2.10E-05,2.28814E-05
1857,gpm425c,4027.39,4.82E-05,1.32E-06,2.47513E-05
2797,lim286,6235.12,5.23E-05,1.62E-07,2.62243E-05
670,AY112119,1467.84,3.09E-05,2.17E-05,2.62892E-05
2491,IDP3877,5446.7,5.37E-05,5.60E-10,2.68538E-05
590,IDP591,1315.17,5.28E-05,1.37E-06,2.70959E-05
2493,AY109699,5449.4,6.14E-05,5.42E-08,3.0709E-05
2799,umc1634,6238.22,6.95E-05,1.53E-06,3.55338E-05
192,bnlg2295,396.56,7.16E-05,1.44E-15,3.58051E-05
652,mmp91,1443.62,4.88E-08,7.38E-05,3.69244E-05
2946,gpm418b,6457.35,8.88E-05,4.00E-12,4.44147E-05
736,gpm482,1523.24,8.82E-05,1.53E-06,4.48705E-05
1701,gpm323,3769.8,1.04E-06,8.92E-05,4.51177E-05
2505,bnlg1194,5505.41,9.41E-05,3.41E-08,4.70699E-05
191,gpm850c,395.95,9.66E-05,2.78E-15,4.82941E-05
1700,lim175,3769.01,1.45E-06,0.000103396,5.24254E-05
1727,gpm245,3802.35,4.18E-05,8.31E-05,6.24529E-05
2495,IDP22,5461.69,0.000127746,7.12E-09,6.38765E-05
2178,umc2323,4688.63,0.000121186,6.70E-06,6.39429E-05
408,ufg53,813.65,4.91E-08,0.000131158,6.56035E-05
603,umc2195,1337.35,0.000131954,1.14E-06,6.6547E-05
2492,umc1414,5448,0.000157273,1.16E-08,7.86423E-05
1696,AY109606,3765.31,1.07E-06,0.00016498,8.30238E-05
737,sdg119,1525.77,0.000147713,1.93E-05,8.35064E-05
407,cdj2,810.75,2.55E-08,0.000186935,9.34802E-05
735,umc1004,1522.87,0.000186532,3.17E-06,9.48508E-05
203,IDP1605,409.13,0.000198275,1.00E-11,9.91373E-05
1268,ufg52,2767,1.17E-05,0.000187441,9.95818E-05
1699,gpm227a,3767.69,2.54E-06,0.000198571,0.000100554
665,umc2079,1461.72,0.000217027,4.73E-07,0.00010875
2948,AY109550,6474.85,0.000206558,1.73E-05,0.000111929
1698,gpm79d,3767.17,2.21E-05,0.000202817,0.000112447
1690,umc1557a,3760.11,3.89E-05,0.000186855,0.000112863
596,umc44b,1323.32,0.000156317,6.95E-05,0.000112908
2194,gpm407,4736.74,0.000226855,9.15E-07,0.000113885
1346,bnlg1217,3025.13,0.000253562,3.65E-06,0.000128606
1303,gpm147,2905.29,0.000217336,6.70E-05,0.000142168
830,bnlg1746,1714.7,4.38E-05,0.000245407,0.000144594
741,IDP3872,1531.82,4.68E-05,0.000252958,0.000149891
2197,gpm838b,4741.53,0.00029626,2.04E-05,0.00015833
2180,mmp113,4696.93,0.000286324,4.17E-05,0.000164012
1726,umc1429,3801.62,8.20E-05,0.000256542,0.000169285
3232,gpm803c,7177.83,0.000354918,1.73E-07,0.000177545
2497,IDP1426,5475.74,0.000366393,7.82E-06,0.000187107
1855,gpm139f,4024.55,0.000257199,0.000124375,0.000190787
2776,AY103622,6161.98,9.56E-05,0.000298458,0.000197018
182,IDP1953,387.66,0.000429967,9.38E-07,0.000215453
2501,IDP397,5486.35,0.000459361,1.17E-10,0.000229681
2795,IDP1976,6227.18,0.000439875,2.67E-05,0.000233287
2777,gpm312d,6161.99,0.000405654,8.20E-05,0.000243827
669,gpm67b,1466.57,0.000479245,4.49E-05,0.000262072
2274,gpm620c,4925.53,0.000271943,0.000254302,0.000263122
428,mmp195d,878.15,0.000572254,3.04E-07,0.000286279
2752,ufg41,6095.4,0.000575838,1.18E-06,0.000288509
2498,IDP1629,5480.77,0.000591019,6.18E-14,0.000295509
1267,bnlg1434,2764.3,6.34E-05,0.00054715,0.000305251
666,php10012,1462.02,0.000641618,5.06E-06,0.000323339
2198,agp2,4741.54,0.000689575,6.35E-06,0.000347963
429,tb1,881.15,0.000700792,4.67E-07,0.000350629
1702,gpm753h,3770.11,0.000496003,0.000215646,0.000355825
1266,mtl1,2762.9,0.000642477,7.45E-05,0.000358489
1265,ufg26,2761.8,0.000468223,0.000318554,0.000393389
1746,bnl4.36,3816.65,0.000803209,6.10E-08,0.000401635
1704,IDP1451,3773.09,2.03E-06,0.000806698,0.000404364
1709,umc2296,3782.52,3.31E-05,0.000782866,0.000408003
2798,wx1,6236.72,0.000851918,1.08E-05,0.000431359
1476,umc2285,3274.97,0.000485362,0.000401114,0.000443238
1697,gpm835b,3766.91,4.48E-05,0.000844091,0.000444421
2949,AY107292,6474.88,0.000922052,7.63E-06,0.000464841
209,umc1515,428.98,0.000935806,1.39E-13,0.000467903
1705,umc1315,3775.22,8.41E-06,0.000938427,0.000473419
668,IDP2455,1464.54,0.00092129,3.93E-05,0.000480295
2305,lim333,4950.64,0.000195242,0.000772096,0.000483669
2832,csu623a,6275.68,0.000974572,9.15E-08,0.000487332
2499,IDP235,5483.1,0.001038559,4.36E-11,0.00051928
1703,crd101,3770.12,0.000800765,0.000244596,0.000522681
1842,umc1752,4003.47,3.05E-05,0.001028588,0.000529552
595,mmc0231a,1320.42,9.58E-05,0.000982065,0.000538938
1715,IDP101,3785.6,0.000977683,0.000173939,0.000575811
1514,gpm611,3345.71,0.000181253,0.001033934,0.000607593
2851,IDP3968,6297.71,0.00122512,1.48E-05,0.00061996
1345,AY107128,3022.41,0.00124487,5.49E-05,0.000649885
427,d8,875.24,0.001309518,5.87E-07,0.000655052
1710,umc1935,3782.72,2.92E-05,0.001297667,0.000663413
1313,umc2176,2934.61,0.000334101,0.001076945,0.000705523
496,mtf1,1034.39,0.001378438,7.05E-05,0.000724469
2953,mmp131,6503.65,0.000265282,0.00120463,0.000734956
1335,gpm287a,3005.37,0.001472803,1.83E-09,0.000736402
426,IDP340,872.97,0.00151406,4.80E-07,0.00075727
2434,AY108844,5245.77,0.000235773,0.001284593,0.000760183
236,AI855190,463.08,0.001540357,3.33E-06,0.000771843
2174,umc1490,4671.63,0.001471391,8.31E-05,0.000777246
1302,csu235,2903.41,0.001218923,0.000484719,0.000851821
1786,myb3,3873.96,1.23E-06,0.00171597,0.000858598
210,myc7,429.58,0.001766786,1.18E-12,0.000883393
2463,ufg39,5357.99,0.001035304,0.00077775,0.000906527
938,umc1608,2038.01,0.001990528,3.14E-05,0.001010964
2299,vef101a,4942.68,0.001933302,0.000112601,0.001022951
421,AY110452,853.85,0.002024261,3.57E-05,0.00102998
572,eks1,1263.41,0.002077808,4.57E-05,0.001061754
1787,umc1221,3883.46,1.36E-06,0.002185645,0.001093501
1049,AY112215,2196.29,0.000297108,0.001913222,0.001105165
2111,IDP3897,4537.18,0.000265962,0.002004532,0.001135247
2852,gpm241,6298.36,0.002236383,7.65E-05,0.001156441
2435,umc1295a,5249.89,0.002170995,0.000155891,0.001163443
1749,gpm498a,3818.75,0.001720787,0.000644618,0.001182703
1336,agrr301,3005.52,0.002421923,8.64E-08,0.001211005
230,AY110396,443.88,0.002442017,3.56E-05,0.001238808
1264,umc2278,2760,0.000233319,0.002289194,0.001261256
2255,gta101a,4903.53,0.002532427,3.60E-05,0.001284214
1689,IDP2438,3759.89,0.001235845,0.00134621,0.001291027
2177,npi419a,4686.13,0.0025843,5.88E-07,0.001292444
2433,gpm257p,5245.51,0.000879702,0.001741386,0.001310544
2494,umc1327,5455,0.002687687,8.52E-09,0.001343848
1572,gpm597,3485.71,0.00272738,3.51E-06,0.001365445
1714,IDP1604,3785.56,0.002435894,0.000307993,0.001371944
1570,hon106b,3482.06,0.002751273,3.52E-06,0.001377396
2608,gpm733a,5735.68,1.83E-07,0.002838133,0.001419158
1571,AY111822,3484.57,0.002856352,2.53E-06,0.001429441
183,IDP99,389.16,0.002893178,1.97E-08,0.001446599
2298,epl101,4942.28,0.002440701,0.000471488,0.001456094
338,gpm852,678.16,1.91E-05,0.002910803,0.00146497
1716,AY107414,3787.57,0.002954697,9.64E-06,0.001482168
220,mmp143,436.28,0.002424998,0.000551696,0.001488347
833,isu91b,1716.5,4.46E-05,0.002958148,0.001501355
2275,crt2,4925.83,0.000418813,0.00264984,0.001534327
128,AY110640,262.74,5.45E-05,0.003099296,0.001576921
673,umc2125,1473.22,0.000572979,0.00267596,0.00162447
3211,gpm920,7132.9,0.00327133,9.96E-07,0.001636163
2409,IDP4034,5168.79,0.001693917,0.00158878,0.001641348
829,gpm123,1713.89,9.52E-05,0.003219358,0.001657286
2307,gpm117d,4968.38,9.18E-05,0.003222786,0.001657287
1721,umc1355,3796.22,0.003289643,4.50E-05,0.001667322
1725,gpm419,3801.52,0.002283754,0.001095295,0.001689524
939,gpm320d,2040.36,0.003410436,3.97E-06,0.001707203
2211,cka4,4768.8,0.003478365,3.36E-07,0.00173935
1688,bnl5.02a,3756.21,0.000119342,0.003368788,0.001744065
237,IDP653,464.32,0.003521586,6.61E-07,0.001761124
2093,npi616a,4513.41,0.001068632,0.002577608,0.00182312
2778,gpm603,6162.36,0.003568871,0.000101136,0.001835003
1314,umc1902,2941.41,0.000328949,0.003409083,0.001869016
2094,AY110260,4515.81,0.002556219,0.001211286,0.001883753
599,gpm328b,1327.67,0.001322072,0.002505804,0.001913938
1711,mmp8,3784.12,0.000112547,0.003805711,0.001959129
2112,AY107881,4537.79,0.00342763,0.000499614,0.001963622
2476,npi220a,5400,0.002056553,0.001893183,0.001974868
2297,bnlg2233,4941.54,0.003405345,0.000585782,0.001995564
222,csu1138,437.38,0.001390588,0.002638152,0.00201437
129,gpm357,266.43,0.000129615,0.003938308,0.002033962
1747,gpm808,3817.2,0.004087125,1.01E-08,0.002043567
2843,umc1271,6285.58,0.004087857,5.64E-07,0.002044211
2441,gpm760a,5264.31,0.002176144,0.001985749,0.002080947
238,IDP34,464.33,0.00417653,4.94E-06,0.002090735
2796,IDP3844,6234.09,0.004155535,3.01E-05,0.002092818
734,AY109981,1521.87,0.004251118,2.55E-05,0.002138309
774,AY109722,1602.79,0.001059491,0.003342758,0.002201125
1720,umc1,3795.82,0.004371559,8.77E-05,0.00222963
423,gpm129,864.62,0.004302716,0.00019386,0.002248288
3014,AW330564,6743,0.00456821,4.44E-06,0.002286325
422,IDP3993,857.65,0.003767899,0.000839974,0.002303937
2863,gpm731,6306.57,0.000991702,0.00368263,0.002337166
2989,gpm552c,6625.1,0.004783705,1.27E-07,0.002391916
3207,IDP1471,7123.1,0.004430655,0.000445026,0.002437841
2753,gta106b,6101.53,0.004236217,0.000722002,0.002479109
2216,umc1642,4782.2,0.005006948,1.54E-11,0.002503474
1830,mmp104,3972.47,0.000433385,0.004576267,0.002504826
1841,nfd104a,3998.39,4.92E-06,0.005178562,0.002591743
221,gpm540b,437.09,0.004836134,0.000412532,0.002624333
235,umc1703,452.28,0.005154566,0.000124501,0.002639534
2296,bnlg1247,4941.34,0.004312952,0.001023946,0.002668449
648,bnlg1175,1436.12,0.004927459,0.000458693,0.002693076
1748,gpm218a,3818.56,0.00540467,2.65E-07,0.002702468
2308,gpm143a,4968.57,0.00094787,0.004524636,0.002736253
246,umc1603,474.29,0.00555055,8.50E-06,0.002779525
2304,hag102,4947.76,0.002617619,0.002951357,0.002784488
1685,gpm406b,3751.89,0.000130625,0.005473352,0.002801989
740,IDP3909,1528.71,0.005690387,5.43E-05,0.002872343
2685,AY110569,5886.99,3.55E-08,0.005796615,0.002898325
674,umc2007,1475.22,0.000855535,0.005091775,0.002973655
184,dupssr26,389.48,0.005985937,2.76E-08,0.002992982
553,IDP1683,1211.58,0.002277808,0.003756817,0.003017313
856,gpm383c,1786.85,0.005082839,0.000967163,0.003025001
667,hrg1,1464.32,0.005806084,0.000285149,0.003045616
2404,umc254,5163.19,0.006047083,0.000114945,0.003081014
739,IDP2141,1528.43,0.005168729,0.001115057,0.003141893
2945,gpm473a,6455.33,0.006295795,5.01E-09,0.0031479
2278,gpm359e,4928.9,0.00044151,0.005880608,0.003161059
240,umc1903a,466.29,0.006647685,4.04E-06,0.003325862
2686,psy2,5889.79,4.59E-07,0.006729667,0.003365063
2994,gpm753b,6651.04,0.003962596,0.002820704,0.00339165
857,bnlg469b,1791.2,0.006883785,8.00E-05,0.003481892
675,gpm32,1475.38,0.002387559,0.004624924,0.003506242
2464,gpm424a,5358.33,8.22E-06,0.007058903,0.003533562
2951,mmp132,6478.65,0.006943374,0.00038416,0.003663767
2465,gpm517,5359.26,1.94E-05,0.007458236,0.00373883
2829,bnl5.10,6274.18,0.007508442,1.38E-07,0.00375429
233,IDP1675,449.2,0.00763031,4.01E-05,0.003835205
2860,umc1267,6302.69,0.006683538,0.001442918,0.004063228
1395,IDP326,3073.64,0.007827821,0.000372327,0.004100074
2609,hox1,5737.25,5.62E-06,0.008205504,0.004105562
2005,sbp3,4358.76,0.008060562,0.000155718,0.00410814
2848,umc1921,6294.68,0.008263347,4.37E-05,0.004153524
224,AY106439,438.38,0.007123783,0.001204672,0.004164227
2791,mmp30,6207.52,4.12E-05,0.008313259,0.004177222
2256,gpm34f,4903.68,0.008295081,0.000134692,0.004214886
2090,umc1388,4507.11,0.002732385,0.005756257,0.004244321
1444,bnl5.24b,3190.27,0.005861124,0.00265533,0.004258227
239,umc1906,465.39,0.008482768,3.89E-05,0.004260834
2854,umc1743,6299.08,0.008496279,5.40E-05,0.004275139
1388,gpm26a,3063.54,0.008609972,8.91E-08,0.00430503
3213,umc1196a,7134.91,0.008546307,6.48E-05,0.004305554
232,umc1676,449.18,0.008605252,8.52E-05,0.004345226
1708,bnl6.10,3781.32,0.005991127,0.002793285,0.004392206
2300,bnlg1380,4943.14,0.007642182,0.0011538,0.004397991
1745,bnlg1902,3812.55,0.008910239,3.50E-07,0.004455295
1719,gpm868,3795.5,0.00877039,0.000145249,0.00445782
106,mmp66,222.74,0.00895168,9.69E-10,0.00447584
2110,IDP2375,4536.1,0.006418405,0.002589753,0.004504079
649,umc2251,1436.82,0.006589423,0.002438845,0.004514134
1732,php15024,3804.32,0.00908131,9.44E-07,0.004541127
1315,IDP478,2941.42,0.000130106,0.009003529,0.004566817
2301,bnlg1792,4945.44,0.006936969,0.002199769,0.004568369
164,sod4,335.85,0.007951522,0.00123492,0.004593221
918,lim66,1994.81,0.009267756,3.76E-09,0.00463388
218,AY109678,435.68,0.009194614,0.000131498,0.004663056
531,gpm201b,1140,0.00937531,7.67E-06,0.00469149
2408,gpm450b,5167.36,0.000207241,0.009207973,0.004707607
2406,umc1710,5165.59,0.000174185,0.009355752,0.004764969
2280,gpm231,4929.13,0.000559592,0.009583637,0.005071615
598,nfd102,1327.22,0.000546993,0.009630508,0.00508875
2089,npi560,4504.31,0.008913695,0.001281388,0.005097541
2037,IDP344,4412.26,0.008483178,0.001740225,0.005111702
854,gpm717a,1783.87,0.010223242,1.67E-06,0.005112456
1301,gpm861b,2903.16,0.000319571,0.010013054,0.005166312
1317,gpm367a,2953.47,0.005753545,0.00471167,0.005232608
223,rz323a,437.68,0.007645136,0.002951868,0.005298502
251,uaz276,484.29,0.010528007,0.000131183,0.005329595
2950,npi439b,6476.85,0.010673821,9.83E-06,0.005341825
219,IDP194,435.73,0.010751798,2.45E-05,0.005388149
2439,gpm270b,5255.23,0.006971723,0.00382666,0.005399191
1724,umc1870,3800.52,0.008785721,0.002070321,0.005428021
1400,IDP2421,3089.66,0.010774757,0.000201689,0.005488223
2963,gpm310,6561.92,0.007386275,0.003603438,0.005494856
2091,gpm390b,4507.97,0.007332936,0.003669739,0.005501337
2273,IDP353,4925.51,0.008355494,0.002650244,0.005502869
2823,IDP380,6271.36,0.011140435,1.53E-11,0.005570217
2828,php20052,6273.38,0.011140776,2.20E-07,0.005570498
2104,AY110873,4527.01,0.011176616,7.49E-07,0.005588682
1286,IDP2484,2859.32,0.0027885,0.00840223,0.005595365
323,gpm96,631.43,1.03E-06,0.011347036,0.005674031
2842,IDP3862,6284.98,0.01135114,3.98E-08,0.00567559
1686,cdo98a,3754.61,0.007950101,0.003421443,0.005685772
743,IDP616,1546.98,0.010059336,0.001360412,0.005709874
2092,IDP3886,4511.13,0.002841674,0.008605221,0.005723447
1573,umc169a,3488.61,0.011509124,5.43E-07,0.005754833
2830,bnl5.46b,6275.08,0.011591717,5.27E-09,0.005795861
1785,IDP1467,3860.38,1.34E-07,0.011612512,0.005806323
2958,umc1366,6535.05,0.00224572,0.009406248,0.005825984
1838,AY109938,3985.17,0.000673647,0.011056132,0.005864889
1283,umc1757,2841,0.002863426,0.00902375,0.005943588
2302,bnlg2203,4945.64,0.010338088,0.001588543,0.005963315
2272,umc1927,4923.53,0.009268455,0.002707824,0.00598814
127,gpm121,259.55,0.000322983,0.011663548,0.005993266
425,IDP2347,870.75,0.012305773,4.67E-05,0.006176237
247,gpm692a,474.55,0.012368187,4.00E-06,0.006186094
2405,umc2330,5163.49,0.006206349,0.006209177,0.006207763
424,AY112283,867.66,0.012386374,3.14E-05,0.006208887
919,umc2258,1997.81,0.012403085,7.04E-05,0.006236742
2490,gpm417,5438.61,0.006755712,0.005727521,0.006241617
2309,IDP311,4968.61,0.000665047,0.011921999,0.006293523
1911,umc1143,4222.5,0.012515842,0.00014041,0.006328126
3212,gpm273d,7133,0.012743697,2.31E-07,0.006371964
551,bnlg1017,1206.71,0.011547333,0.001367939,0.006457636
2977,mmp136,6601.57,4.72E-05,0.01289933,0.006473246
552,gpm86,1210.84,0.009605295,0.003528221,0.006566758
1886,gpm719,4150.44,0.005295491,0.008114237,0.006704864
1322,gpm761b,2968.3,6.54E-06,0.013435449,0.006720992
322,gpm192,630.33,1.88E-05,0.013436451,0.006727607
1885,npi288a,4147.68,0.00165632,0.011799908,0.006728114
2279,gpm154,4929.07,0.002804428,0.010706787,0.006755608
651,umc2249,1437.32,0.013422161,0.000163809,0.006792985
1127,bnlg1160,2361.5,0.001241825,0.012352673,0.006797249
2862,lim99b,6304.89,0.010714214,0.002975614,0.006844914
2166,asg6a,4646.93,0.000270629,0.013774349,0.007022489
914,gpm783,1953.62,0.014054002,7.80E-10,0.007027001
2518,gpm152,5533.9,0.014102377,6.73E-07,0.007051525
916,gpm648,1965.41,0.014200445,1.38E-10,0.007100223
1722,isu45b,3797.02,0.01265432,0.0018433,0.00724881
1707,gpm732b,3780.12,0.003373759,0.011510957,0.007442358
