Entry,Treatment,Line,Replicate,Height_in,comments
447,Control,Mo030,12,71,
447,Control,Mo030,13,70,
447,Control,Mo030,14,75,
447,Control,Mo030,15,74,
447,Control,Mo030,16,73,
448,Control,B73,1,71,
448,Control,B73,2,62,
448,Control,B73,3,66,
448,Control,B73,4,72,
448,Control,B73,5,76,
448,Control,B73,6,73,
448,Control,B73,7,76,
448,Control,B73,8,76,
448,Control,B73,9,78,
448,Control,B73,10,83,
448,Control,B73,11,79,
448,Control,B73,12,80,
448,Control,B73,13,79,
449,Control,Mo031,1,75,
449,Control,Mo031,2,75,
449,Control,Mo031,3,72,
449,Control,Mo031,4,75,
449,Control,Mo031,5,79,
449,Control,Mo031,6,77,
449,Control,Mo031,7,77,
449,Control,Mo031,8,74,
449,Control,Mo031,9,81,
449,Control,Mo031,10,81,
449,Control,Mo031,11,80,
449,Control,Mo031,12,80,
449,Control,Mo031,13,78,
449,Control,Mo031,14,80,
449,Control,Mo031,15,83,
449,Control,Mo031,16,80,
449,Control,Mo031,17,84,
449,Control,Mo031,18,77,
449,Control,Mo031,19,80,
450,Control,Mo032,1,62,
450,Control,Mo032,2,61,
450,Control,Mo032,3,52,
450,Control,Mo032,4,49,
450,Control,Mo032,5,63,
450,Control,Mo032,6,64,
450,Control,Mo032,7,62,
450,Control,Mo032,8,28,
450,Control,Mo032,9,58,
450,Control,Mo032,10,58,
450,Control,Mo032,11,63,
450,Control,Mo032,12,63,
450,Control,Mo032,13,66,
450,Control,Mo032,14,63,
450,Control,Mo032,15,65,
450,Control,Mo032,16,68,
450,Control,Mo032,17,60,
450,Control,Mo032,18,69,
457,Control,Mo033,1,67,
457,Control,Mo033,2,74,
457,Control,Mo033,3,71,
457,Control,Mo033,4,75,
457,Control,Mo033,5,75,
457,Control,Mo033,6,76,
457,Control,Mo033,7,59,
457,Control,Mo033,8,74,
457,Control,Mo033,9,75,
457,Control,Mo033,10,75,
457,Control,Mo033,11,76,
457,Control,Mo033,12,77,
458,Control,Mo034,1,69,
458,Control,Mo034,2,68,
458,Control,Mo034,3,71,
458,Control,Mo034,4,67,
458,Control,Mo034,5,70,
458,Control,Mo034,6,72,
458,Control,Mo034,7,68,
458,Control,Mo034,8,70,
458,Control,Mo034,9,69,
459,Control,Mo035,1,70,
459,Control,Mo035,2,71,
459,Control,Mo035,3,70,
459,Control,Mo035,4,72,
459,Control,Mo035,5,67,
459,Control,Mo035,6,67,
459,Control,Mo035,7,64,
459,Control,Mo035,8,70,
459,Control,Mo035,9,69,
459,Control,Mo035,10,68,
459,Control,Mo035,11,72,
459,Control,Mo035,12,76,
459,Control,Mo035,13,69,
459,Control,Mo035,14,70,
459,Control,Mo035,15,70,
459,Control,Mo035,16,72,
459,Control,Mo035,17,64,
460,Control,Mo040,1,82,
460,Control,Mo040,2,79,
460,Control,Mo040,3,80,
460,Control,Mo040,4,79,
460,Control,Mo040,5,81,
460,Control,Mo040,6,75,
460,Control,Mo040,7,75,
460,Control,Mo040,8,65,
460,Control,Mo040,9,59,
460,Control,Mo040,10,65,
460,Control,Mo040,11,73,
460,Control,Mo040,12,66,
460,Control,Mo040,13,67,
460,Control,Mo040,14,65,
460,Control,Mo040,15,68,
460,Control,Mo040,16,69,
460,Control,Mo040,17,62,
460,Control,Mo040,18,68,
461,Control,Mo044,1,70,
461,Control,Mo044,2,56,
461,Control,Mo044,3,66,
461,Control,Mo044,4,70,
461,Control,Mo044,5,68,
461,Control,Mo044,6,71,
461,Control,Mo044,7,76,
461,Control,Mo044,8,70,
461,Control,Mo044,9,60,
461,Control,Mo044,10,60,
462,Control,Mo045,1,44,
462,Control,Mo045,2,40,
462,Control,Mo045,3,46,
462,Control,Mo045,4,44,
462,Control,Mo045,5,48,
462,Control,Mo045,6,42,
462,Control,Mo045,7,52,
462,Control,Mo045,8,46,
462,Control,Mo045,9,45,
462,Control,Mo045,10,46,
462,Control,Mo045,11,51,
462,Control,Mo045,12,48,
462,Control,Mo045,13,46,
462,Control,Mo045,14,49,
462,Control,Mo045,15,36,
462,Control,Mo045,16,50,
469,Control,B73,1,76,
469,Control,B73,2,72,
469,Control,B73,3,70,
469,Control,B73,4,75,
469,Control,B73,5,74,
469,Control,B73,6,72,
469,Control,B73,7,72,
469,Control,B73,8,69,
469,Control,B73,9,72,
469,Control,B73,10,71,
469,Control,B73,11,71,
469,Control,B73,12,71,
469,Control,B73,13,71,
470,Control,Mo046,1,76,
470,Control,Mo046,2,74,
470,Control,Mo046,3,73,
470,Control,Mo046,4,77,
470,Control,Mo046,5,73,
470,Control,Mo046,6,80,
470,Control,Mo046,7,72,
470,Control,Mo046,8,78,
470,Control,Mo046,9,79,
470,Control,Mo046,10,68,
470,Control,Mo046,11,76,
470,Control,Mo046,12,74,
470,Control,Mo046,13,77,
470,Control,Mo046,14,76,
470,Control,Mo046,15,74,
470,Control,Mo046,16,76,
470,Control,Mo046,17,80,
471,Control,Mo052,1,66,
471,Control,Mo052,2,70,
471,Control,Mo052,3,68,
471,Control,Mo052,4,66,
471,Control,Mo052,5,68,
471,Control,Mo052,6,66,
471,Control,Mo052,7,70,
471,Control,Mo052,8,72,
471,Control,Mo052,9,69,
471,Control,Mo052,10,65,
471,Control,Mo052,11,69,
471,Control,Mo052,12,58,
471,Control,Mo052,13,68,
471,Control,Mo052,14,72,
471,Control,Mo052,15,63,
472,Control,Mo054,1,77,
472,Control,Mo054,2,63,
472,Control,Mo054,3,70,
472,Control,Mo054,4,63,
472,Control,Mo054,5,81,
472,Control,Mo054,6,75,
472,Control,Mo054,7,72,
472,Control,Mo054,8,72,
472,Control,Mo054,9,77,
472,Control,Mo054,10,77,
472,Control,Mo054,11,79,
472,Control,Mo054,12,82,
472,Control,Mo054,13,75,
472,Control,Mo054,14,83,
472,Control,Mo054,15,83,
472,Control,Mo054,16,81,
472,Control,Mo054,17,76,
473,Control,Mo055,1,62,
473,Control,Mo055,2,64,
473,Control,Mo055,3,58,
473,Control,Mo055,4,62,
473,Control,Mo055,5,64,
473,Control,Mo055,6,61,
473,Control,Mo055,7,69,
473,Control,Mo055,8,63,
473,Control,Mo055,9,65,
473,Control,Mo055,10,67,
473,Control,Mo055,11,69,
473,Control,Mo055,12,69,
473,Control,Mo055,13,67,
473,Control,Mo055,14,71,
473,Control,Mo055,15,69,
473,Control,Mo055,16,60,
473,Control,Mo055,17,69,
474,Control,Mo057,1,60,
474,Control,Mo057,2,60,
474,Control,Mo057,3,60,
474,Control,Mo057,4,55,
474,Control,Mo057,5,59,
474,Control,Mo057,6,61,
474,Control,Mo057,7,53,
474,Control,Mo057,8,43,
474,Control,Mo057,9,62,
474,Control,Mo057,10,62,
474,Control,Mo057,11,62,
474,Control,Mo057,12,55,
474,Control,Mo057,13,57,
474,Control,Mo057,14,57,
474,Control,Mo057,15,59,
474,Control,Mo057,16,61,
474,Control,Mo057,17,65,
481,Control,Mo058,1,73,
481,Control,Mo058,2,79,
481,Control,Mo058,3,77,
481,Control,Mo058,4,76,
481,Control,Mo058,5,79,
481,Control,Mo058,6,74,
481,Control,Mo058,7,74,
481,Control,Mo058,8,72,
481,Control,Mo058,9,70,
482,Control,Mo060,1,75,
482,Control,Mo060,2,73,
482,Control,Mo060,3,77,
482,Control,Mo060,4,82,
482,Control,Mo060,5,77,
482,Control,Mo060,6,81,
482,Control,Mo060,7,79,
482,Control,Mo060,8,79,
482,Control,Mo060,9,76,
482,Control,Mo060,10,79,
482,Control,Mo060,11,61,
482,Control,Mo060,12,76,
483,Control,Mo061,1,67,
483,Control,Mo061,2,83,
483,Control,Mo061,3,81,
483,Control,Mo061,4,77,
483,Control,Mo061,5,82,
483,Control,Mo061,6,91,
483,Control,Mo061,7,81,
483,Control,Mo061,8,85,
483,Control,Mo061,9,80,
483,Control,Mo061,10,87,
483,Control,Mo061,11,86,
483,Control,Mo061,12,85,
483,Control,Mo061,13,78,
483,Control,Mo061,14,83,
483,Control,Mo061,15,82,
484,Control,B73,1,75,
484,Control,B73,2,78,
484,Control,B73,3,78,
484,Control,B73,4,78,
484,Control,B73,5,83,
484,Control,B73,6,76,
484,Control,B73,7,82,
484,Control,B73,8,79,
484,Control,B73,9,81,
484,Control,B73,10,84,
484,Control,B73,11,75,
484,Control,B73,12,79,
484,Control,B73,13,66,
484,Control,B73,14,61,
485,Control,Mo066,1,66,
485,Control,Mo066,2,62,
485,Control,Mo066,3,66,
485,Control,Mo066,4,73,
485,Control,Mo066,5,70,
485,Control,Mo066,6,76,
485,Control,Mo066,7,69,
485,Control,Mo066,8,62,
485,Control,Mo066,9,65,
485,Control,Mo066,10,73,
485,Control,Mo066,11,58,
485,Control,Mo066,12,71,
485,Control,Mo066,13,65,
485,Control,Mo066,14,70,
486,Control,Mo074,1,67,
486,Control,Mo074,2,62,
486,Control,Mo074,3,73,
486,Control,Mo074,4,77,
486,Control,Mo074,5,74,
486,Control,Mo074,6,68,
486,Control,Mo074,7,75,
486,Control,Mo074,8,67,
486,Control,Mo074,9,71,
486,Control,Mo074,10,71,
486,Control,Mo074,11,74,
486,Control,Mo074,12,60,
486,Control,Mo074,13,71,
486,Control,Mo074,14,57,
486,Control,Mo074,15,59,
493,Control,Mo17 parent,1,72,
493,Control,Mo17 parent,2,76,
493,Control,Mo17 parent,3,79,
493,Control,Mo17 parent,4,79,
493,Control,Mo17 parent,5,78,
493,Control,Mo17 parent,6,77,
493,Control,Mo17 parent,7,82,
493,Control,Mo17 parent,8,80,
493,Control,Mo17 parent,9,78,
493,Control,Mo17 parent,10,80,
494,Control,Mo076,1,90,
494,Control,Mo076,2,90,
494,Control,Mo076,3,82,
495,Control,Mo262,1,79,
495,Control,Mo262,2,80,
495,Control,Mo262,3,79,
495,Control,Mo262,4,80,
495,Control,Mo262,5,83,
495,Control,Mo262,6,86,
495,Control,Mo262,7,82,
495,Control,Mo262,8,77,
495,Control,Mo262,9,75,
495,Control,Mo262,10,78,
495,Control,Mo262,11,80,
496,Control,Mo264,1,62,
496,Control,Mo264,2,59,
496,Control,Mo264,3,60,
496,Control,Mo264,4,61,
496,Control,Mo264,5,54,
496,Control,Mo264,6,64,
496,Control,Mo264,7,58,
496,Control,Mo264,8,60,
496,Control,Mo264,9,57,
496,Control,Mo264,10,50,
496,Control,Mo264,11,60,
496,Control,Mo264,12,63,
496,Control,Mo264,13,55,
496,Control,Mo264,14,56,
496,Control,Mo264,15,57,
497,Control,B73,1,79,
497,Control,B73,2,75,
497,Control,B73,3,77,
497,Control,B73,4,75,
497,Control,B73,5,72,
497,Control,B73,6,74,
497,Control,B73,7,69,
497,Control,B73,8,71,
497,Control,B73,9,70,
497,Control,B73,10,68,
498,Control,Mo265,1,66,
498,Control,Mo265,2,64,
498,Control,Mo265,3,59,
498,Control,Mo265,4,62,
498,Control,Mo265,5,63,
498,Control,Mo265,6,43,
498,Control,Mo265,7,66,
498,Control,Mo265,8,61,
498,Control,Mo265,9,62,
498,Control,Mo265,10,56,
498,Control,Mo265,11,60,
498,Control,Mo265,12,61,
498,Control,Mo265,13,55,
498,Control,Mo265,14,59,
505,Control,Mo266,1,66,
505,Control,Mo266,2,67,
505,Control,Mo266,3,72,
505,Control,Mo266,4,72,
505,Control,Mo266,5,78,
505,Control,Mo266,6,77,
505,Control,Mo266,7,78,
505,Control,Mo266,8,72,
505,Control,Mo266,9,78,
505,Control,Mo266,10,74,
505,Control,Mo266,11,78,
505,Control,Mo266,12,73,
505,Control,Mo266,13,80,
505,Control,Mo266,14,60,
505,Control,Mo266,15,74,
505,Control,Mo266,16,72,
505,Control,Mo266,17,70,
505,Control,Mo266,18,73,
506,Control,Mo267,1,62,
506,Control,Mo267,2,56,
506,Control,Mo267,3,61,
506,Control,Mo267,4,62,
506,Control,Mo267,5,62,
506,Control,Mo267,6,67,
506,Control,Mo267,7,60,
506,Control,Mo267,8,62,
506,Control,Mo267,9,61,
506,Control,Mo267,10,64,
506,Control,Mo267,11,61,
506,Control,Mo267,12,65,
506,Control,Mo267,13,65,
506,Control,Mo267,14,60,
506,Control,Mo267,15,64,
507,Control,Mo269,1,64,
507,Control,Mo269,2,68,
507,Control,Mo269,3,53,
507,Control,Mo269,4,71,
507,Control,Mo269,5,65,
507,Control,Mo269,6,65,
507,Control,Mo269,7,69,
507,Control,Mo269,8,39,
507,Control,Mo269,9,72,
507,Control,Mo269,10,66,
507,Control,Mo269,11,66,
507,Control,Mo269,12,70,
507,Control,Mo269,13,67,
507,Control,Mo269,14,65,
508,Control,Mo272,1,75,
508,Control,Mo272,2,73,
508,Control,Mo272,3,76,
508,Control,Mo272,4,76,
508,Control,Mo272,5,79,
508,Control,Mo272,6,75,
508,Control,Mo272,7,78,
508,Control,Mo272,8,72,
508,Control,Mo272,9,75,
508,Control,Mo272,10,69,
508,Control,Mo272,11,80,
508,Control,Mo272,12,75,
508,Control,Mo272,13,78,
508,Control,Mo272,14,76,
508,Control,Mo272,15,78,
508,Control,Mo272,16,76,
508,Control,Mo272,17,80,
508,Control,Mo272,18,83,
508,Control,Mo272,19,81,
508,Control,Mo272,20,79,
508,Control,Mo272,21,79,
509,Control,Mo275,1,57,
509,Control,Mo275,2,64,
509,Control,Mo275,3,63,
509,Control,Mo275,4,61,
509,Control,Mo275,5,66,
509,Control,Mo275,6,66,
509,Control,Mo275,7,72,
509,Control,Mo275,8,77,
509,Control,Mo275,9,70,
509,Control,Mo275,10,64,
509,Control,Mo275,11,65,
509,Control,Mo275,12,70,
509,Control,Mo275,13,71,
509,Control,Mo275,14,71,
509,Control,Mo275,15,64,
510,Control,Mo276,1,54,
510,Control,Mo276,2,60,
510,Control,Mo276,3,54,
510,Control,Mo276,4,54,
510,Control,Mo276,5,62,
510,Control,Mo276,6,62,
510,Control,Mo276,7,59,
510,Control,Mo276,8,60,
510,Control,Mo276,9,59,
510,Control,Mo276,10,61,
510,Control,Mo276,11,64,
510,Control,Mo276,12,64,
510,Control,Mo276,13,65,
510,Control,Mo276,14,62,
510,Control,Mo276,15,64,
510,Control,Mo276,16,55,
510,Control,Mo276,17,60,
510,Control,Mo276,18,65,
510,Control,Mo276,19,62,
517,Control,Mo281,1,85,
517,Control,Mo281,2,83,
517,Control,Mo281,3,86,
517,Control,Mo281,4,83,
517,Control,Mo281,5,87,
517,Control,Mo281,6,84,
517,Control,Mo281,7,91,
517,Control,Mo281,8,86,
517,Control,Mo281,9,84,
517,Control,Mo281,10,88,
517,Control,Mo281,11,90,
517,Control,Mo281,12,94,
518,Control,Mo284,1,82,
518,Control,Mo284,2,85,
518,Control,Mo284,3,88,
519,Control,B73,1,74,
519,Control,B73,2,76,
519,Control,B73,3,79,
519,Control,B73,4,79,
519,Control,B73,5,72,
519,Control,B73,6,75,
519,Control,B73,7,78,
519,Control,B73,8,80,
519,Control,B73,9,75,
519,Control,B73,10,76,
519,Control,B73,11,77,
519,Control,B73,12,78,
520,Control,Mo287,1,80,
520,Control,Mo287,2,83,
520,Control,Mo287,3,83,
520,Control,Mo287,4,82,
520,Control,Mo287,5,79,
520,Control,Mo287,6,84,
520,Control,Mo287,7,82,
520,Control,Mo287,8,80,
520,Control,Mo287,9,78,
520,Control,Mo287,10,79,
520,Control,Mo287,11,76,
520,Control,Mo287,12,76,
520,Control,Mo287,13,84,
520,Control,Mo287,14,81,
521,Control,Mo288,1,72,
521,Control,Mo288,2,74,
521,Control,Mo288,3,72,
521,Control,Mo288,4,68,
521,Control,Mo288,5,74,
521,Control,Mo288,6,71,
521,Control,Mo288,7,73,
521,Control,Mo288,8,72,
521,Control,Mo288,9,76,
521,Control,Mo288,10,71,
521,Control,Mo288,11,73,
521,Control,Mo288,12,69,
521,Control,Mo288,13,71,
521,Control,Mo288,14,65,
521,Control,Mo288,15,71,
522,Control,Mo296,1,73,
522,Control,Mo296,2,65,
522,Control,Mo296,3,40,
522,Control,Mo296,4,68,
522,Control,Mo296,5,68,
522,Control,Mo296,6,60,
522,Control,Mo296,7,60,
522,Control,Mo296,8,61,
522,Control,Mo296,9,55,
529,Control,Mo297,1,77,
529,Control,Mo297,2,75,
529,Control,Mo297,3,78,
529,Control,Mo297,4,64,
529,Control,Mo297,5,76,
529,Control,Mo297,6,75,
529,Control,Mo297,7,74,
529,Control,Mo297,8,72,
529,Control,Mo297,9,75,
529,Control,Mo297,10,72,
529,Control,Mo297,11,71,
529,Control,Mo297,12,69,
529,Control,Mo297,13,63,
530,Control,B73,1,77,
530,Control,B73,2,81,
530,Control,B73,3,79,
530,Control,B73,4,79,
530,Control,B73,5,79,
530,Control,B73,6,79,
530,Control,B73,7,77,
530,Control,B73,8,73,
530,Control,B73,9,78,
530,Control,B73,10,78,
530,Control,B73,11,77,
530,Control,B73,12,81,
530,Control,B73,13,76,
530,Control,B73,14,80,
530,Control,B73,15,78,
530,Control,B73,16,71,
530,Control,B73,17,74,
530,Control,B73,18,75,
530,Control,B73,19,75,
530,Control,B73,20,80,
531,Control,Mo298,1,75,
531,Control,Mo298,2,74,
531,Control,Mo298,3,67,
531,Control,Mo298,4,81,
531,Control,Mo298,5,84,
531,Control,Mo298,6,86,
531,Control,Mo298,7,86,
531,Control,Mo298,8,79,
531,Control,Mo298,9,84,
531,Control,Mo298,10,76,
531,Control,Mo298,11,82,
531,Control,Mo298,12,81,
531,Control,Mo298,13,81,
531,Control,Mo298,14,74,
531,Control,Mo298,15,70,
531,Control,Mo298,16,71,
531,Control,Mo298,17,80,
531,Control,Mo298,18,79,
531,Control,Mo298,19,81,
532,Control,Mo309,1,65,
532,Control,Mo309,2,75,
532,Control,Mo309,3,75,
532,Control,Mo309,4,78,
532,Control,Mo309,5,78,
532,Control,Mo309,6,73,
532,Control,Mo309,7,78,
532,Control,Mo309,8,76,
533,Control,Mo311,1,66,
533,Control,Mo311,2,66,
533,Control,Mo311,3,58,
533,Control,Mo311,4,72,
533,Control,Mo311,5,64,
533,Control,Mo311,6,66,
533,Control,Mo311,7,68,
533,Control,Mo311,8,50,
533,Control,Mo311,9,62,
533,Control,Mo311,10,69,
534,Control,Mo317,1,50,
534,Control,Mo317,2,46,
534,Control,Mo317,3,50,
534,Control,Mo317,4,57,
534,Control,Mo317,5,39,
534,Control,Mo317,6,45,
534,Control,Mo317,7,32,
534,Control,Mo317,8,45,
534,Control,Mo317,9,49,
534,Control,Mo317,10,35,
534,Control,Mo317,11,42,
534,Control,Mo317,12,39,
534,Control,Mo317,13,49,
541,Control,Mo321,1,59,
541,Control,Mo321,2,72,
541,Control,Mo321,3,70,
541,Control,Mo321,4,74,
541,Control,Mo321,5,74,
541,Control,Mo321,6,67,
541,Control,Mo321,7,74,
541,Control,Mo321,8,70,
541,Control,Mo321,9,70,
541,Control,Mo321,10,76,
541,Control,Mo321,11,76,
541,Control,Mo321,12,75,
542,Control,Mo323,1,88,
542,Control,Mo323,2,89,
542,Control,Mo323,3,86,
542,Control,Mo323,4,91,
542,Control,Mo323,5,88,
542,Control,Mo323,6,88,
542,Control,Mo323,7,90,
542,Control,Mo323,8,90,
542,Control,Mo323,9,90,
542,Control,Mo323,10,91,
542,Control,Mo323,11,89,
542,Control,Mo323,12,87,
542,Control,Mo323,13,93,
542,Control,Mo323,14,90,
542,Control,Mo323,15,84,
543,Control,Mo328,1,80,
543,Control,Mo328,2,90,
543,Control,Mo328,3,87,
543,Control,Mo328,4,87,
543,Control,Mo328,5,93,
543,Control,Mo328,6,92,
543,Control,Mo328,7,94,
543,Control,Mo328,8,93,
543,Control,Mo328,9,96,
543,Control,Mo328,10,89,
543,Control,Mo328,11,92,
543,Control,Mo328,12,93,
543,Control,Mo328,13,83,
543,Control,Mo328,14,90,
543,Control,Mo328,15,88,
544,Control,B73,1,81,
544,Control,B73,2,80,
544,Control,B73,3,81,
544,Control,B73,4,64,
544,Control,B73,5,76,
544,Control,B73,6,75,
544,Control,B73,7,78,
544,Control,B73,8,83,
544,Control,B73,9,72,
544,Control,B73,10,60,
544,Control,B73,11,78,
544,Control,B73,12,79,
544,Control,B73,13,72,
545,Control,Mo337,1,83,
545,Control,Mo337,2,73,
545,Control,Mo337,3,86,
545,Control,Mo337,4,79,
545,Control,Mo337,5,88,
545,Control,Mo337,6,69,
545,Control,Mo337,7,80,
545,Control,Mo337,8,79,
545,Control,Mo337,9,89,
545,Control,Mo337,10,85,
545,Control,Mo337,11,76,
545,Control,Mo337,12,73,
545,Control,Mo337,13,83,
545,Control,Mo337,14,82,
546,Control,Mo341,1,61,
546,Control,Mo341,2,68,
546,Control,Mo341,3,73,
546,Control,Mo341,4,69,
546,Control,Mo341,5,67,
546,Control,Mo341,6,62,
546,Control,Mo341,7,61,
546,Control,Mo341,8,63,
546,Control,Mo341,9,76,
546,Control,Mo341,10,47,
546,Control,Mo341,11,65,
546,Control,Mo341,12,63,
546,Control,Mo341,13,67,
546,Control,Mo341,14,44,
553,Control,Mo355,1,81,
553,Control,Mo355,2,81,
553,Control,Mo355,3,75,
553,Control,Mo355,4,80,
553,Control,Mo355,5,82,
553,Control,Mo355,6,78,
553,Control,Mo355,7,91,
553,Control,Mo355,8,75,
553,Control,Mo355,9,70,
553,Control,Mo355,10,74,
553,Control,Mo355,11,66,
553,Control,Mo355,12,70,
554,Control,B73,1,78,
554,Control,B73,2,76,
554,Control,B73,3,77,
554,Control,B73,4,78,
554,Control,B73,5,82,
554,Control,B73,6,78,
554,Control,B73,7,79,
554,Control,B73,8,78,
554,Control,B73,9,73,
554,Control,B73,10,78,
554,Control,B73,11,71,
554,Control,B73,12,75,
554,Control,B73,13,74,
554,Control,B73,14,77,
554,Control,B73,15,79,
554,Control,B73,16,79,
554,Control,B73,17,76,
555,Control,Mo360,1,79,
555,Control,Mo360,2,74,
555,Control,Mo360,3,73,
555,Control,Mo360,4,80,
555,Control,Mo360,5,80,
555,Control,Mo360,6,76,
555,Control,Mo360,7,83,
555,Control,Mo360,8,86,
555,Control,Mo360,9,76,
555,Control,Mo360,10,80,
555,Control,Mo360,11,79,
555,Control,Mo360,12,77,
555,Control,Mo360,13,79,
555,Control,Mo360,14,81,
555,Control,Mo360,15,77,
555,Control,Mo360,16,76,
555,Control,Mo360,17,83,
555,Control,Mo360,18,75,
556,Control,Mo364,1,64,
556,Control,Mo364,2,69,
556,Control,Mo364,3,74,
556,Control,Mo364,4,76,
556,Control,Mo364,5,77,
556,Control,Mo364,6,80,
556,Control,Mo364,7,78,
556,Control,Mo364,8,82,
556,Control,Mo364,9,80,
557,Control,Mo365,1,68,
557,Control,Mo365,2,76,
557,Control,Mo365,3,79,
557,Control,Mo365,4,78,
557,Control,Mo365,5,65,
557,Control,Mo365,6,80,
557,Control,Mo365,7,67,
557,Control,Mo365,8,81,
557,Control,Mo365,9,76,
557,Control,Mo365,10,80,
557,Control,Mo365,11,82,
557,Control,Mo365,12,86,
557,Control,Mo365,13,81,
557,Control,Mo365,14,78,
557,Control,Mo365,15,74,
557,Control,Mo365,16,71,
557,Control,Mo365,17,78,
557,Control,Mo365,18,80,
557,Control,Mo365,19,81,
558,Control,Mo368,1,57,
558,Control,Mo368,2,54,
558,Control,Mo368,3,56,
558,Control,Mo368,4,63,
558,Control,Mo368,5,48,
558,Control,Mo368,6,51,
558,Control,Mo368,7,42,
558,Control,Mo368,8,41,
558,Control,Mo368,9,53,
558,Control,Mo368,10,37,
558,Control,Mo368,11,64,
565,Control,Mo378,1,70,
565,Control,Mo378,2,69,
565,Control,Mo378,3,49,
565,Control,Mo378,4,77,
565,Control,Mo378,5,69,
565,Control,Mo378,6,71,
565,Control,Mo378,7,73,
565,Control,Mo378,8,84,
565,Control,Mo378,9,85,
565,Control,Mo378,10,79,
565,Control,Mo378,11,86,
565,Control,Mo378,12,88,
566,Control,Mo379,1,76,
566,Control,Mo379,2,60,
566,Control,Mo379,3,59,
566,Control,Mo379,4,61,
566,Control,Mo379,5,59,
566,Control,Mo379,6,64,
566,Control,Mo379,7,58,
566,Control,Mo379,8,61,
566,Control,Mo379,9,60,
567,Control,Mo383,1,69,
567,Control,Mo383,2,72,
567,Control,Mo383,3,69,
567,Control,Mo383,4,69,
567,Control,Mo383,5,72,
567,Control,Mo383,6,74,
567,Control,Mo383,7,76,
