,Cycle,A1,A3,A5,A7,A9,A11,B1,B3,B5,B7,B9,B11,C1,C3,C5,C7,C9,C11,D1,D3,D5,D7,D9,D11,E1,E3,E5,E7,E9,E11,F1,F2,F3,F4,F5,G7,G8,G9,G10,G11,H1,H2,H3,H4,H5
,20,2891.85,2640.89,2636.14,2749.34,2799.20,2747.17,3102.32,2654.88,2607.26,2778.75,2785.26,2751.66,2884.78,2642.84,2654.97,2810.13,2782.99,2783.97,2920.30,2651.44,2611.39,2784.51,2817.61,2794.72,2670.13,2541.34,2562.88,2837.81,2810.85,2686.89,3198.04,2710.78,2610.32,2645.51,2615.98,2717.22,2802.13,2745.35,2719.23,2573.62,2901.30,2672.63,2669.18,2625.09,2629.98
,21,2893.24,2640.34,2634.50,2746.09,2802.93,2748.48,3097.92,2657.81,2608.17,2778.37,2789.86,2748.68,2889.78,2648.17,2653.00,2804.50,2778.61,2784.68,2922.14,2646.31,2608.72,2789.92,2815.40,2792.75,2679.32,2542.38,2557.41,2839.66,2809.63,2693.05,3204.76,2708.84,2610.92,2649.13,2613.96,2722.55,2801.85,2748.42,2720.01,2575.50,2896.41,2674.18,2673.38,2630.43,2629.41
,22,2893.23,2644.14,2636.81,2750.01,2798.41,2745.91,3102.79,2657.34,2606.74,2784.49,2790.49,2751.62,2883.86,2647.77,2654.64,2810.49,2781.35,2785.91,2919.52,2649.67,2610.64,2786.48,2818.76,2790.89,2676.10,2543.94,2557.41,2839.64,2806.31,2696.47,3202.51,2709.36,2609.79,2644.28,2615.58,2720.93,2799.89,2753.30,2724.00,2573.51,2898.85,2672.49,2674.94,2624.57,2629.24
,23,2898.12,2647.14,2637.70,2749.74,2805.39,2750.54,3103.94,2657.77,2610.95,2783.83,2797.43,2755.19,2889.47,2644.61,2652.67,2805.21,2786.32,2777.98,2917.52,2651.23,2610.49,2784.63,2822.95,2791.95,2678.66,2545.45,2560.66,2836.06,2803.41,2700.41,3204.60,2710.28,2610.51,2644.92,2616.59,2728.32,2799.80,2748.51,2730.84,2574.46,2900.30,2674.82,2676.22,2627.33,2627.60
,24,2897.05,2643.28,2635.73,2755.63,2804.39,2749.61,3105.09,2657.73,2605.58,2787.15,2805.48,2757.38,2888.66,2643.16,2653.78,2806.31,2793.88,2787.39,2922.64,2649.30,2610.47,2787.66,2826.26,2795.22,2679.90,2543.97,2563.14,2835.21,2810.34,2712.91,3202.11,2711.28,2607.59,2647.45,2616.39,2736.24,2800.48,2756.66,2740.82,2570.86,2903.98,2673.48,2675.25,2626.96,2633.07
,25,2894.65,2646.96,2637.10,2760.39,2801.66,2757.02,3108.50,2658.19,2610.30,2781.88,2812.89,2754.64,2891.39,2645.02,2651.00,2806.73,2801.36,2781.88,2922.26,2645.78,2611.96,2787.79,2838.78,2791.24,2680.31,2546.18,2562.28,2838.30,2807.76,2738.94,3207.93,2716.16,2612.11,2647.33,2613.26,2748.68,2802.65,2768.28,2757.03,2577.45,2898.08,2676.27,2677.89,2626.43,2633.81
,26,2894.38,2647.05,2635.75,2768.73,2801.66,2760.05,3111.38,2657.94,2610.05,2784.12,2835.76,2752.87,2889.11,2646.27,2655.04,2807.41,2820.38,2784.79,2922.10,2648.29,2610.44,2784.89,2862.87,2792.82,2680.60,2544.41,2561.23,2838.88,2807.55,2781.03,3204.06,2712.01,2614.59,2646.09,2612.57,2783.94,2800.61,2788.38,2794.76,2581.09,2901.50,2675.32,2680.85,2627.57,2631.14
,27,2891.78,2645.12,2639.58,2786.66,2802.99,2784.02,3116.07,2662.60,2605.75,2785.07,2881.87,2756.33,2890.22,2643.09,2652.18,2805.28,2860.33,2784.14,2929.44,2647.38,2608.62,2785.57,2898.53,2794.58,2678.49,2545.97,2562.24,2837.75,2802.91,2846.18,3207.98,2709.53,2607.37,2646.81,2613.70,2828.05,2802.46,2822.63,2842.27,2583.21,2899.71,2676.33,2680.18,2626.27,2632.99
,28,2895.06,2648.08,2636.30,2816.37,2803.99,2801.00,3116.07,2659.24,2607.49,2784.41,2937.67,2761.31,2892.22,2642.89,2657.98,2809.11,2921.95,2787.12,2925.07,2646.86,2614.75,2786.79,2951.76,2794.36,2680.41,2547.66,2566.09,2836.63,2806.76,2928.31,3208.11,2714.13,2611.52,2648.56,2614.58,2881.95,2801.40,2871.38,2919.80,2587.01,2904.19,2679.76,2674.18,2630.68,2627.25
,29,2890.30,2648.59,2638.17,2853.07,2808.01,2855.50,3119.06,2662.38,2609.39,2782.11,3006.05,2757.72,2892.89,2649.12,2653.87,2810.63,2990.92,2788.51,2930.38,2647.00,2613.87,2781.63,3018.02,2794.68,2678.37,2546.43,2562.31,2841.68,2802.38,3012.10,3206.94,2715.93,2609.93,2645.65,2615.37,2946.31,2802.26,2930.47,3012.83,2597.12,2904.82,2675.51,2675.78,2625.65,2628.48
,30,2894.54,2652.92,2639.17,2901.06,2808.95,2917.66,3123.94,2662.74,2605.54,2788.13,3083.91,2759.93,2891.28,2644.52,2653.88,2802.19,3076.13,2790.08,2932.86,2646.44,2610.50,2782.00,3081.27,2797.75,2685.59,2547.84,2562.12,2844.51,2810.31,3102.21,3205.14,2716.35,2610.79,2646.97,2612.18,3001.96,2802.16,2992.62,3105.48,2594.13,2904.07,2681.66,2679.26,2626.54,2632.76
,31,2893.91,2652.15,2638.78,2943.82,2810.36,2984.94,3117.94,2661.59,2606.86,2785.25,3158.78,2755.44,2892.72,2644.18,2656.65,2803.44,3158.27,2784.73,2934.11,2646.53,2617.66,2787.37,3147.08,2794.59,2687.75,2542.44,2561.53,2851.39,2808.15,3176.14,3206.34,2710.00,2608.41,2643.09,2613.12,3054.74,2802.83,3054.74,3195.35,2601.33,2906.22,2682.46,2676.68,2627.17,2632.80
,32,2897.35,2648.53,2639.31,2989.09,2821.54,3055.26,3124.97,2663.84,2609.66,2785.52,3227.68,2759.37,2889.96,2642.37,2656.79,2805.48,3231.99,2789.21,2935.87,2647.84,2609.77,2786.14,3202.33,2790.73,2686.99,2545.34,2562.22,2864.95,2806.11,3250.66,3208.79,2715.66,2609.24,2644.09,2607.67,3099.79,2801.87,3120.30,3278.78,2602.54,2908.30,2679.83,2679.68,2624.47,2635.63
,33,2898.18,2649.72,2640.45,3032.10,2837.45,3124.16,3125.37,2663.38,2609.79,2783.66,3296.24,2755.04,2893.77,2649.96,2656.51,2803.97,3307.75,2788.81,2932.09,2645.95,2612.86,2785.38,3254.25,2791.33,2685.05,2544.02,2562.93,2876.14,2805.88,3316.53,3206.60,2716.48,2609.36,2643.53,2607.56,3143.32,2798.98,3171.08,3353.15,2602.90,2908.59,2681.03,2679.05,2622.45,2630.31
,34,2896.04,2649.08,2641.63,3067.56,2861.49,3188.56,3124.22,2663.67,2608.37,2789.25,3362.41,2757.40,2891.83,2645.50,2652.01,2806.56,3371.37,2789.73,2935.03,2644.56,2612.89,2786.39,3303.12,2792.08,2686.35,2544.49,2560.47,2912.08,2807.14,3377.90,3208.92,2713.17,2609.80,2642.81,2612.28,3183.39,2796.40,3214.99,3423.07,2606.08,2911.22,2683.91,2683.14,2625.43,2629.83
,35,2896.68,2652.55,2639.03,3104.98,2900.39,3239.88,3132.75,2668.03,2609.37,2790.66,3415.28,2760.17,2892.06,2647.43,2659.23,2809.68,3432.64,2791.18,2937.57,2644.51,2615.16,2784.79,3348.44,2790.92,2680.51,2543.76,2566.59,2968.00,2803.78,3436.30,3203.20,2714.15,2607.96,2645.91,2611.85,3215.37,2798.41,3258.17,3477.43,2608.55,2909.75,2685.07,2682.19,2624.14,2630.75
,36,2896.39,2653.26,2640.01,3131.71,2957.99,3285.96,3123.90,2660.34,2607.24,2789.70,3458.99,2759.90,2892.63,2647.67,2652.41,2805.19,3484.66,2784.52,2934.29,2644.28,2613.23,2782.76,3379.56,2792.48,2684.48,2546.26,2562.41,3038.35,2804.42,3477.86,3197.98,2712.73,2608.19,2640.81,2613.34,3235.48,2800.25,3288.82,3528.42,2615.09,2909.07,2678.17,2678.19,2625.86,2630.57
,37,2899.63,2652.01,2639.14,3158.69,3021.10,3334.76,3129.61,2668.56,2609.26,2792.30,3503.22,2764.34,2893.34,2645.79,2657.36,2802.39,3535.08,2787.57,2938.04,2648.56,2611.75,2784.38,3415.79,2791.16,2686.12,2546.07,2561.83,3125.91,2807.28,3523.85,3199.17,2715.05,2611.21,2641.83,2611.21,3261.56,2802.72,3324.34,3573.26,2620.61,2909.34,2684.80,2682.19,2628.25,2632.35
,38,2901.58,2656.04,2644.15,3182.73,3077.99,3375.34,3133.63,2665.70,2608.09,2790.52,3540.38,2760.92,2890.23,2651.40,2658.23,2805.13,3576.01,2789.80,2942.45,2646.24,2613.90,2787.96,3443.94,2791.15,2689.68,2545.53,2563.71,3204.57,2807.30,3562.52,3201.99,2720.69,2611.88,2643.96,2615.59,3282.96,2800.38,3351.01,3610.56,2625.32,2912.04,2680.38,2682.61,2624.64,2633.20
,39,2895.92,2653.15,2642.19,3197.62,3135.07,3405.75,3133.63,2663.85,2606.67,2788.98,3563.26,2757.09,2895.54,2649.55,2654.16,2807.48,3602.88,2790.50,2935.08,2643.41,2609.90,2786.76,3463.82,2790.91,2684.24,2542.74,2562.43,3288.68,2809.52,3586.53,3201.65,2718.14,2611.79,2638.14,2611.94,3297.88,2797.94,3368.70,3639.04,2626.80,2911.88,2683.57,2679.54,2627.87,2635.21
,40,2899.52,2649.37,2642.39,3214.59,3192.48,3434.88,3138.75,2668.20,2608.82,2787.57,3590.92,2757.60,2896.91,2654.63,2653.17,2803.93,3631.08,2786.22,2943.69,2649.63,2613.77,2786.65,3488.69,2795.28,2687.96,2544.54,2563.51,3374.62,2810.27,3617.93,3208.50,2716.27,2611.28,2646.11,2609.13,3311.99,2801.29,3393.37,3669.70,2624.71,2910.93,2685.55,2684.35,2621.62,2635.77
