"Un Spliced bZIP60","Spliced bZIP60","MarkerMarker Name 115","MarkerMarker Name 288","MarkerMarker Name 317","MarkerMarker Name 208","MarkerMarker Name 213","MarkerMarker Name 263","MarkerMarker Name 101","MarkerMarker Name 311","MarkerMarker Name 124","MarkerMarker Name 287","MarkerMarker Name 198","MarkerMarker Name 293","MarkerMarker Name 394","MarkerMarker Name 171","MarkerMarker Name 55","MarkerMarker Name 298","MarkerMarker Name 302","MarkerMarker Name 181","MarkerMarker Name 192","MarkerMarker Name 408","MarkerMarker Name 214","MarkerMarker Name 281","MarkerMarker Name 199","MarkerMarker Name 157","MarkerMarker Name 161","MarkerMarker Name 328","MarkerMarker Name 120","MarkerMarker Name 50","MarkerMarker Name 384","MarkerMarker Name 423","MarkerMarker Name 135","MarkerMarker Name 375","MarkerMarker Name 59","MarkerMarker Name 148","MarkerMarker Name 54","MarkerMarker Name 334","MarkerMarker Name 4","MarkerMarker Name 322","MarkerMarker Name 61","MarkerMarker Name 242","MarkerMarker Name 323","MarkerMarker Name 159","MarkerMarker Name 272","MarkerMarker Name 297","MarkerMarker Name 172","MarkerMarker Name 365","MarkerMarker Name 275","MarkerMarker Name 354","MarkerMarker Name 337","MarkerMarker Name 320"
"2104.8775","1949.285167","B","B","A","A","B","A","B","A","A","A","A","B","A","B","B","B","B","B","B","A","A","B","A","B","A","B","B","A","B","B","B","B","A","A","B","B","B","A","A","A","B","B","A","B","A","A","B","B","B","A"
"994.1645","2352.452471","B","B","B","B","A","A","A","B","B","A","B","B","A","A","B","B","A","A","A","A","A","B","N","A","A","B","B","B","A","A","B","A","A","A","B","A","A","A","B","B","A","A","B","A","A","A","B","A","B","A"
"1339.51325","643.4784","N","B","B","B","B","A","A","A","A","B","B","B","B","A","A","A","B","B","B","A","B","A","B","B","N","B","A","A","B","A","A","A","B","B","A","B","A","A","B","B","A","A","A","B","A","B","B","B","B","B"
"886.74975","799.1927333","N","A","A","A","B","A","B","A","B","B","A","A","B","A","B","A","A","A","B","A","N","A","B","B","A","N","A","A","B","B","A","A","A","B","A","A","A","A","B","B","A","B","A","A","A","A","B","B","B","B"
"496.15075","598.9481","B","A","A","A","A","N","B","B","A","B","A","A","A","B","N","A","B","A","B","A","A","A","A","A","A","B","B","A","B","A","B","B","B","B","B","A","B","A","B","B","A","A","A","B","A","A","A","B","B","B"
"357.46825","511.9828","A","A","B","A","A","B","A","A","B","A","B","B","B","A","A","B","A","B","A","B","B","B","B","B","A","A","A","B","B","B","A","A","B","B","A","B","A","A","A","A","B","A","B","A","B","A","N","A","A","A"
"505.74625","635.3463333","A","A","B","A","B","A","A","N","A","B","A","A","A","B","B","A","A","B","B","A","B","A","B","B","A","N","A","N","B","A","B","B","B","A","A","A","B","A","A","B","B","B","A","B","A","A","A","B","B","B"
"1076.32125","653.889","A","B","B","A","A","A","B","A","N","A","A","B","B","B","A","B","A","A","N","A","A","B","A","N","A","A","B","B","B","B","B","B","A","B","B","N","B","A","A","B","B","A","B","A","A","A","B","A","B","A"
"776.09375","687.0952333","B","A","B","A","B","B","B","A","N","A","A","B","B","B","A","B","A","A","B","B","B","B","B","B","B","A","A","A","B","B","A","B","B","A","A","B","B","A","A","B","B","B","A","N","B","N","B","B","A","A"
"2432.3655","547.896","B","A","A","A","B","B","N","B","B","A","A","A","A","B","A","A","B","B","B","A","B","B","B","A","A","B","B","A","A","A","A","B","B","B","B","B","B","A","B","A","A","B","A","A","B","A","B","B","B","A"
"2288.08525","674.3102667","B","A","B","A","A","N","B","N","A","N","B","N","A","N","B","B","A","A","B","A","A","B","N","B","B","B","B","N","B","B","B","N","A","A","B","N","N","A","A","B","B","B","A","B","N","A","B","A","B","N"
"1051.19975","649.5972667","A","B","B","A","A","A","B","A","A","A","B","A","B","A","B","A","A","A","B","B","B","B","B","B","B","A","A","B","B","A","A","A","B","A","A","A","A","A","B","A","A","B","B","B","A","N","B","A","A","A"
"3598.30825","839.5961667","B","B","B","B","A","A","A","B","A","B","B","A","A","A","B","B","A","B","A","N","A","A","A","A","B","B","A","B","A","B","A","A","A","A","A","A","A","B","B","A","A","A","B","B","A","B","B","A","B","B"
"1745.53525","507.0561667","B","B","B","B","A","A","A","A","A","N","B","A","N","A","A","A","B","A","A","B","A","B","B","B","A","B","A","B","B","A","A","A","N","A","A","A","A","A","N","A","A","A","B","B","A","B","B","N","A","N"
"1825.529","389.6303667","B","B","B","B","B","A","B","A","B","B","B","A","B","A","B","N","B","B","A","B","A","A","A","B","B","B","A","B","B","N","A","A","B","B","A","A","A","A","B","A","A","A","B","A","A","A","B","B","A","B"
"935.4365","518.9587","A","A","A","B","B","B","B","B","B","A","B","B","A","A","A","A","B","B","A","A","B","A","A","A","B","A","B","B","A","A","B","A","A","B","B","B","A","A","N","B","B","A","B","N","B","A","B","A","B","A"
"452.2825","175.1060714","A","B","B","B","A","A","N","A","A","A","B","B","B","A","A","A","A","A","A","B","B","B","B","B","A","A","N","B","B","A","A","A","B","A","N","B","A","N","B","B","A","A","B","B","A","A","B","A","A","A"
"3683.024","273.6272333","B","B","A","A","B","A","B","B","B","A","A","N","A","B","A","A","B","A","N","B","A","B","A","A","A","B","B","A","A","A","B","B","B","B","B","N","B","A","B","B","A","A","A","A","A","A","A","B","A","A"
"2232.514","381.5237857","B","A","A","B","A","B","A","B","A","A","A","B","A","N","B","A","B","A","B","A","B","B","B","A","B","A","B","A","A","A","B","N","B","B","B","B","A","A","B","B","A","B","A","B","B","B","A","A","B","A"
"465.8655","374.5557857","B","B","B","B","A","B","A","B","B","A","B","B","B","A","B","B","B","A","B","A","A","B","B","A","B","B","B","B","A","B","B","A","A","B","B","B","A","N","A","A","B","B","B","A","B","B","N","A","B","A"
"730.786","184.6977857","B","A","A","B","B","A","A","B","B","A","B","B","A","A","B","A","A","A","B","A","A","B","A","A","B","A","B","A","A","A","B","A","N","A","B","B","A","B","B","A","A","B","N","A","A","B","A","B","B","A"
"6989.238","929.3422857","A","B","B","B","B","A","A","A","B","B","A","A","B","A","B","A","B","A","B","B","A","N","N","B","A","A","A","A","B","A","A","B","A","B","A","A","A","N","A","A","B","B","A","A","A","B","B","B","A","B"
"5932.495","1546.8865","B","A","B","A","B","B","B","A","N","B","A","B","B","B","B","B","B","A","A","A","A","B","A","B","A","B","A","N","B","B","A","B","A","B","A","B","B","N","A","B","B","A","A","B","B","B","A","B","B","B"
"5667.0805","716.8815","B","B","B","A","B","A","B","B","A","A","A","N","A","B","B","A","A","B","B","A","A","A","A","A","A","B","B","A","A","A","B","B","A","A","B","N","B","B","B","A","A","B","B","B","A","A","A","B","B","B"
"1668.8925","5005.880714","B","B","B","B","B","B","A","A","A","A","B","A","B","A","A","A","B","A","N","B","A","B","B","B","B","B","A","A","B","A","A","A","A","A","A","B","A","A","B","A","A","B","A","B","B","A","B","B","A","A"
"3336.02","1113.377357","B","A","B","B","B","B","A","A","B","A","A","B","A","A","A","A","B","B","A","B","A","B","A","B","A","B","A","A","B","A","B","A","A","B","A","B","A","A","A","B","A","A","A","B","B","B","A","B","A","A"
"1585.66","924.8450714","A","A","N","A","A","N","B","A","N","A","B","B","B","B","A","B","A","A","A","A","B","B","A","B","A","A","A","N","B","B","A","B","B","B","A","B","N","A","A","A","B","A","N","B","N","A","A","A","B","A"
"3257.3635","867.9521429","A","B","B","B","B","A","A","A","B","B","B","B","B","A","A","A","B","A","B","A","B","A","B","B","A","A","A","B","B","A","A","A","B","B","A","B","A","A","N","B","B","B","B","A","A","B","B","B","B","B"
"1623.5395","486.5317143","A","A","B","B","B","B","A","A","B","A","B","B","B","A","B","B","B","B","A","A","A","A","B","B","A","A","A","B","B","B","A","A","A","A","A","B","A","B","B","A","A","A","B","A","B","B","B","B","B","A"
"735.165","373.9045","B","A","B","B","A","B","B","A","A","A","B","B","B","A","B","B","A","B","B","B","A","B","B","B","B","B","A","A","B","B","A","A","A","A","A","B","A","A","A","A","B","B","A","B","B","B","B","A","A","A"
"1841.6855","515.2271429","B","B","B","A","A","A","B","A","A","A","A","A","B","B","N","A","A","B","A","A","N","A","A","B","B","N","A","A","B","A","A","B","B","A","A","B","B","A","A","A","B","A","A","B","A","B","B","A","B","A"
"2546.514","450.7515714","B","B","B","A","B","A","A","A","N","B","A","A","B","B","B","B","A","A","A","B","A","A","B","B","A","B","A","B","B","B","A","B","A","A","A","A","B","A","A","B","B","A","B","A","A","A","B","B","A","B"
"1747.14925","767.8135","B","A","A","N","A","A","B","B","B","B","B","A","A","N","B","A","A","B","A","B","A","A","B","A","A","B","A","A","A","A","B","N","A","A","A","A","N","B","B","B","A","A","B","A","A","A","B","A","A","B"
"2466.95725","357.3801364","B","B","A","A","N","B","B","B","B","N","B","B","B","B","B","A","B","B","A","B","B","B","A","A","A","B","A","A","B","A","A","B","B","B","A","B","B","B","A","B","B","A","A","A","B","A","B","N","A","A"
"4839.734375","1300.452227","B","A","B","A","A","B","B","A","B","B","B","A","N","A","A","B","B","N","A","A","B","A","B","N","A","N","N","B","N","B","N","A","B","B","N","A","A","A","A","B","B","A","A","A","B","B","B","A","B","B"
"660.1295","651.8852273","A","B","B","N","A","B","A","A","B","A","A","B","B","B","B","B","A","A","B","A","A","A","B","B","A","A","A","N","B","B","A","B","A","A","A","B","B","B","A","A","B","B","A","A","B","A","B","A","B","A"
"2204.91","575.1181364","B","B","B","N","B","A","B","A","B","A","B","A","B","B","A","B","A","N","A","B","A","N","B","B","B","B","A","B","B","B","A","N","A","A","A","A","B","B","A","A","B","A","B","A","A","B","A","B","A","A"
"4079.502875","495.4069545","B","A","A","A","A","B","B","B","A","A","A","B","A","B","B","A","B","A","B","B","A","A","B","A","A","B","B","A","A","A","B","B","A","B","B","B","B","A","B","B","A","B","B","A","B","B","B","A","A","A"
"4040.536625","2158.229773","B","B","B","A","A","B","B","B","A","B","A","A","B","B","A","A","B","A","A","B","N","A","A","A","B","B","A","A","A","A","A","B","N","B","A","A","B","A","B","B","A","A","A","B","B","B","A","A","A","B"
"7460.990375","1269.934136","A","B","B","A","A","A","A","B","B","A","A","B","B","B","A","A","B","B","B","A","B","B","B","A","B","A","B","A","A","A","B","B","B","B","B","B","B","B","N","B","B","B","N","A","A","A","B","A","B","A"
"4193.135375","749.8337727","A","B","A","A","A","A","A","A","A","A","B","B","B","A","B","B","A","A","A","B","B","B","B","B","B","A","A","A","B","B","A","A","B","A","A","B","N","A","A","A","B","A","A","B","A","B","B","A","A","A"
"4315.98975","1716.669545","A","A","B","B","N","B","A","A","B","B","B","A","B","B","B","A","A","B","A","B","B","A","B","B","B","A","A","B","B","A","A","B","A","A","A","A","N","B","B","B","A","A","A","A","B","B","B","B","A","B"
"4782.889625","1001.816727","N","B","A","A","A","A","A","B","B","N","B","B","B","A","N","B","B","B","A","N","B","B","B","A","B","N","A","A","A","B","A","A","B","A","A","B","A","B","A","N","B","A","B","A","A","A","B","A","N","N"
"4146.51175","1092.436409","A","B","N","A","B","A","B","N","B","A","A","N","B","B","B","A","N","N","A","B","B","B","N","N","A","N","A","N","A","A","A","B","B","A","A","B","B","B","B","A","A","A","B","A","A","B","B","B","A","B"
"8861.05925","1790.864318","B","B","B","A","A","A","B","A","B","A","A","N","A","B","B","B","B","B","A","A","A","A","A","B","N","B","A","B","B","B","A","B","A","B","A","N","B","B","A","A","B","A","B","B","A","B","A","A","B","A"
"4923.40375","715.0885","B","A","A","B","B","A","B","A","B","A","N","A","B","A","B","B","A","A","A","B","A","B","A","B","B","B","A","A","B","B","A","A","N","A","A","B","A","A","A","A","B","A","A","A","A","A","A","N","A","A"
"4745.255","1077.833273","B","A","B","A","A","A","B","B","A","B","A","B","N","A","B","B","A","A","B","A","A","A","B","A","B","B","B","B","A","B","B","A","A","A","B","A","A","B","A","A","B","B","B","A","A","B","B","A","B","B"
"2622.145","660.5149091","B","B","B","B","B","A","B","B","A","A","B","B","A","A","B","A","B","N","A","A","B","B","A","B","A","B","B","A","N","A","B","A","B","A","B","B","A","A","B","A","A","A","N","A","A","B","B","B","B","A"
"5877.574875","1132.692318","B","B","B","B","A","A","A","B","A","N","B","B","A","A","N","A","B","A","A","B","A","B","A","A","B","B","B","B","A","A","B","A","A","B","B","N","A","B","B","B","A","A","B","B","A","A","A","N","A","N"
"6448.53425","1748.384545","B","A","A","B","A","B","A","B","A","B","A","N","A","A","B","B","B","B","B","B","A","B","B","A","A","B","A","A","A","B","B","A","A","A","A","N","A","A","A","B","B","B","A","B","B","B","B","A","A","B"
"3287.5676","604.8627826","B","B","A","B","A","A","B","B","B","A","A","B","A","A","A","B","A","N","A","B","B","A","A","A","B","A","B","B","A","B","B","B","B","B","B","N","A","A","A","A","B","N","B","A","A","B","A","A","A","A"
"4013.4729","914.9430217","B","A","N","B","A","B","N","A","B","A","B","A","B","A","B","B","A","A","A","B","N","B","B","B","A","A","A","A","B","B","A","A","A","N","A","A","A","B","A","A","A","A","A","A","N","B","A","A","B","A"
"923.2201","245.1554783","A","A","A","B","B","B","A","A","B","B","B","A","A","A","A","A","B","A","A","N","B","A","B","B","A","A","B","B","B","A","B","A","B","B","B","A","A","A","B","A","A","A","A","A","B","B","A","B","A","B"
"2054.86595","766.9781957","B","B","A","B","A","A","A","B","B","A","B","A","N","A","A","A","B","A","B","B","A","B","A","A","B","B","B","N","A","A","B","A","A","A","B","A","A","B","B","B","A","B","A","A","A","B","A","A","A","A"
"1721.31245","1100.882652","A","B","A","A","A","A","B","B","A","B","A","A","B","B","B","B","B","B","A","A","B","A","B","A","A","A","A","A","A","B","A","B","B","A","A","A","B","A","A","B","B","A","A","B","A","A","B","A","B","B"
"3252.269","816.4821957","A","A","A","B","N","N","A","A","B","B","A","A","B","B","B","A","A","B","B","A","B","A","B","B","A","A","A","A","B","A","A","B","B","A","A","A","N","A","B","B","A","B","A","A","N","B","B","N","B","B"
"564.77045","768.8845217","A","B","B","A","B","A","B","A","B","B","B","A","A","A","B","A","B","B","A","A","B","B","A","B","B","A","B","A","B","A","A","A","A","A","B","A","B","B","N","A","A","A","A","A","A","A","A","B","B","B"
"2181.40625","454.4051739","A","B","B","A","B","A","B","B","B","A","A","B","N","B","A","N","B","A","B","B","B","B","B","A","A","A","B","A","A","B","B","B","B","B","B","B","B","A","N","A","N","B","A","A","A","A","B","B","A","A"
"3486.0944","577.1340435","B","A","B","B","A","B","N","N","A","N","B","B","B","A","A","A","B","N","B","A","B","A","B","N","B","B","B","B","B","A","B","A","B","B","B","B","A","B","B","B","A","A","B","B","B","B","B","A","B","N"
"4656.9248","287.7924783","A","A","N","N","B","B","A","A","B","B","B","B","B","A","B","B","A","A","B","B","B","B","A","B","B","A","B","B","B","B","A","A","B","B","B","N","A","B","A","B","B","B","B","A","B","A","B","B","A","B"
"719.5518","483.4634783","B","A","B","A","A","A","N","A","A","B","A","A","A","B","A","B","A","B","A","A","A","A","B","B","B","B","N","B","B","B","A","B","A","A","N","A","B","B","B","A","A","A","A","B","A","A","A","A","B","B"
"438.5567","431.6278478","A","B","A","B","B","A","A","A","B","N","B","A","N","A","B","B","A","B","B","A","A","N","A","B","B","A","A","B","B","B","A","A","A","A","A","A","A","B","A","B","A","B","B","A","A","A","N","B","B","N"
"4968.6786","619.1013478","A","B","B","B","B","B","A","B","B","B","B","A","B","A","A","A","B","B","N","B","B","B","B","A","A","A","A","B","A","A","B","A","A","B","A","A","A","B","B","B","A","N","B","A","B","B","B","B","A","B"
