,SNP Names,Position (cM),Mean LOD,Mean P Value,Variance LOD,Variance P Value,Joint LOD,Joint P Value,A Mean Est,A Mean Lower Bound,A Mean Upper Bound,A Standard Deviation Est,A Standard Deviation Lower Bound,A Standard Deviation Upper Bound,B Mean Est,B Mean Lower Bound,B Mean Upper Bound,B Standard Deviation Est,B Standard Deviation Lower Bound,B Standard Deviation Upper Bound
11,IDP1464,21.17,2.652912017,0.265416229,0.714092279,0.699740211,3.224057363,0.521054055,58.4822695,57.77026027,59.19427873,12.67355873,11.43623409,14.04475369,61.24162679,60.57290591,61.91034767,11.87596457,10.70994651,13.16892987
12,fus6,22.62,4.113346704,0.12787867,0.194413634,0.907368328,5.440803432,0.244982116,59.46137787,58.81295216,60.10980358,13.14240592,11.96255285,14.43862656,61.37386018,60.61968459,62.12803577,12.68154219,11.3208884,14.2057325
13,AY109692,23.62,3.53473,0.170782408,0.17688659,0.915355015,4.662373926,0.323725846,61.20263158,60.52857905,61.8766841,11.08280258,9.930261596,12.36911152,59.31403118,58.62652165,60.00154071,12.20459378,11.03192938,13.50190925
14,mmp102,24.42,1.503101787,0.47163453,0.158186781,0.923953632,1.651129919,0.799574591,58.39192399,57.68320585,59.10064214,12.01995872,10.82305143,13.34923046,63.07795699,62.41221542,63.74369856,10.7074538,9.576913986,11.97145208
15,AY110314,29.42,2.14278492,0.342531224,0.014806429,0.992624122,2.146131597,0.708902539,58.99457995,58.26760681,59.72155309,8.254159395,7.247993607,9.400001023,60.90444444,60.23455299,61.5743359,8.370343257,7.440824245,9.415979189
16,umc94a,38.62,3.569488949,0.167839943,0.092754278,0.954681847,3.657313154,0.454364888,57.29558011,56.52846517,58.06269505,11.33986593,10.09799903,12.73445947,61.88066826,61.21418692,62.5471496,10.66684156,9.576674916,11.88110799
17,gpm331,38.71,3.668713186,0.159716231,0.093283743,0.954429145,3.755522467,0.440102075,58.3761194,57.60189583,59.15034298,11.52150288,10.23447199,12.97038368,61.82724252,61.04290585,62.6115792,11.0986611,9.794880889,12.57598531
18,lim179,47.02,2.922283727,0.231971244,0.245337293,0.884556715,3.020396109,0.554417981,58.65570175,57.98387293,59.32753057,9.72531916,8.715625797,10.85198412,61.08695652,60.37514644,61.79876661,9.323388096,8.252420496,10.53334178
19,IDP755,52.47,4.800301998,0.090704256,1.595752592,0.45028422,5.546929477,0.235635036,58.06623932,57.42042318,58.71205545,8.133995427,7.241262381,9.136788328,62.09651475,61.35879329,62.8342362,8.261811079,7.253043613,9.410879893
20,AY107629,54.63,3.712925286,0.156224275,0.020680723,0.989712916,3.785856755,0.435761977,58.27631579,57.61813017,58.93450141,11.0635642,9.981382826,12.26307565,62.11016949,61.36973126,62.85060772,10.97490637,9.764795454,12.33498135
21,mmp49,56.12,5.439277709,0.065898549,0.089419045,0.956275218,6.185039546,0.185749013,59.00438596,58.35598871,59.65278322,7.095343288,6.258161808,8.044518171,61.92258065,61.10020982,62.74495147,7.336077456,6.299877892,8.54271041
22,cdo1081a,57.82,4.07272967,0.130502247,0.347888362,0.840343804,4.289033755,0.368300309,58.2875,57.65619441,58.91880559,11.12040938,10.06713676,12.28388049,62.90066225,62.09134709,63.70997741,11.2922882,9.960941046,12.80157891
23,asg31,65.22,3.988655523,0.136105119,1.375190591,0.502783663,7.12727369,0.12931332,59.50205761,58.90558921,60.09852601,11.32933037,10.28975747,12.47393118,61.28882834,60.51348521,62.06417146,12.70832038,11.37594233,14.19674979
24,npi415,66.02,0.614553617,0.735446995,2.425253888,0.29741496,2.926114178,0.570265184,59.2585034,58.62023307,59.89677373,10.46383339,9.418683225,11.6249593,60.81176471,60.00538634,61.61814307,11.49389714,10.19575883,12.95731624
25,ufg31,71.62,0.043250057,0.978607116,5.472896288,0.064800099,5.514935255,0.238419775,60.66212534,59.9506045,61.37364618,12.53211546,11.25123006,13.95882201,59.52693208,58.80527258,60.24859159,13.67139492,12.37093977,15.10855623
26,gpm330,71.91,0.061621353,0.969659135,4.807274681,0.090388581,4.855780611,0.302417942,59.97263682,59.36201841,60.58325523,7.28480826,6.423905571,8.261085223,61.53684211,60.76411195,62.30957226,8.586796228,7.544897581,9.772573939
27,ufg33,72.02,0.057530133,0.971644709,1.152317909,0.562053097,1.197032949,0.878586881,60.13351499,59.4132517,60.85377827,10.65456072,9.489983717,11.96205047,60.24271845,59.52229054,60.96314636,11.22735614,10.06542482,12.52341833
28,ufg32,72.82,0.362819208,0.834093641,3.139868343,0.208058878,3.228499987,0.520340046,60.56804734,59.81771945,61.31837522,12.2683293,10.94853116,13.74722341,60.41504854,59.69522335,61.13487374,12.96129064,11.69168956,14.36875775
29,ufg34,74.42,0.982508312,0.611858547,6.185268696,0.045382244,6.620176965,0.157374014,58.94385965,58.10603542,59.78168388,10.2521067,8.959437811,11.73128204,60.37593985,59.61663666,61.13524304,10.90110153,9.727506126,12.21628782
30,AY108650,77.57,0.197615861,0.90591669,5.208670635,0.073952276,5.378685861,0.250600672,61.01408451,60.30731707,61.72085195,6.946096866,6.028320361,8.003599474,61.04716981,60.29578876,61.79855086,6.978315537,6.007920369,8.105448265
31,gpm495,80.45,0.031353558,0.984445462,5.440036219,0.065873561,5.475669957,0.241876402,59.87666667,59.16609785,60.58723548,6.974617523,6.008212208,8.09646662,61.97826087,61.26817805,62.68834369,7.896535214,6.95498698,8.965547825
32,gpm83b,80.75,1.688955741,0.429781701,3.295802758,0.192453372,6.900916934,0.141217878,60.45244957,59.80309876,61.10180037,9.992510474,8.896216608,11.22390225,61.68465909,60.90703645,62.46228173,11.88163114,10.58684442,13.33477219
33,gpm767,80.94,1.283715418,0.526313778,3.901757856,0.142149078,7.216916926,0.12485964,60.31099196,59.67937951,60.94260441,9.529635602,8.495790557,10.68928831,61.72432432,60.96963717,62.47901148,11.1485134,9.934423864,12.51097726
34,bnlg1014,81.12,1.274322165,0.528791491,2.420949494,0.298055745,4.988801433,0.288448469,59.39370079,58.69980728,60.08759429,10.79419572,9.648705654,12.07567787,61.18372093,60.49032427,61.87711759,11.39990567,10.2574626,12.66959036
35,umc1363a,82.02,0.496375372,0.780213494,2.466415872,0.291356424,3.615875813,0.460479227,59.11864407,58.46919307,59.76809507,7.195194395,6.326880821,8.182677033,60.01822917,59.25206365,60.78439468,7.940908233,6.949389502,9.073893979
36,gst12,83.52,1.340352725,0.51161834,2.727653659,0.255680457,3.566950338,0.467771682,59.10429448,58.37001278,59.83857618,9.365263658,8.240731758,10.6432494,61.1474359,60.46836129,61.8265105,10.23561784,9.19915003,11.38886444
37,umc1269,84.62,1.336381432,0.512635242,2.734605533,0.254793271,3.565761695,0.467949834,59.49719101,58.812998,60.18138402,10.55230332,9.405840554,11.83850659,60.73951435,60.03728664,61.44174205,12.07770882,10.90697899,13.37410208
38,umc2012,85.72,2.071513169,0.354957724,1.784903365,0.409650188,3.349999604,0.501049442,58.54740061,57.79695808,59.29784314,8.399980999,7.335783479,9.618560986,60.9453125,60.30249789,61.58812711,8.889500918,7.977389551,9.905900427
39,umc1977,87.52,2.716589885,0.257098772,1.328382681,0.514689568,3.332201125,0.5038465,58.31360947,57.58394356,59.04327537,7.401945131,6.428269631,8.523101063,61.0245283,60.39739975,61.65165686,7.833583184,6.999157913,8.767486928
40,IDP553,88.91,2.391225695,0.3025185,3.659425149,0.160459681,5.226312264,0.264854551,58.8445122,58.11771066,59.57131373,11.00937196,9.778100803,12.39568638,60.49902534,59.84355254,61.15449814,12.31467822,11.20048236,13.53971149
41,IDP4043,89.33,2.608824791,0.271331924,3.846952346,0.146098216,5.150815316,0.272169986,58.84795322,58.1154791,59.58042733,10.98568347,9.767356849,12.35597748,60.54308617,59.88721949,61.19895285,11.80766458,10.71275469,13.01448104
42,php20603,90.02,0.891616973,0.640306388,2.556953437,0.278461152,3.244664763,0.517747174,58.2293578,57.49399009,58.9647255,9.469385251,8.338034478,10.75424397,59.79345088,59.04686506,60.5400367,10.4388162,9.300382969,11.71660178
43,sgb101,90.74,1.336857497,0.512513233,3.544555743,0.169945434,4.412196201,0.353086063,60.9841629,60.2936827,61.67464309,7.776972748,6.86989092,8.803823209,58.21351351,57.52495526,58.90207177,7.248789963,6.329903255,8.301067774
44,IDP1437,91.9,1.344098122,0.510661129,2.899663555,0.234609751,3.508177647,0.476636005,59.54271357,58.87020443,60.2152227,10.82989197,9.709418577,12.07966874,60.13318284,59.42388357,60.84248212,11.94561726,10.77088058,13.24847775
45,IDP847,93.03,1.079437448,0.582912189,1.532361344,0.464784848,2.165771111,0.705300492,58.52019002,57.8336769,59.20670315,11.44319711,10.29500887,12.71944123,61.19047619,60.49463545,61.88631693,11.57375701,10.41115881,12.86618077
46,gpm125,96.14,2.851967345,0.240271998,2.02107421,0.364023408,4.996391882,0.287667911,60.03714286,59.32014956,60.75413616,8.644128282,7.600894603,9.83054728,61.26005362,60.54741483,61.97269241,8.830995893,7.796554262,10.00268655
47,lls1,97.12,2.278362271,0.320081018,1.02009695,0.600466471,4.542587266,0.337527558,60.08333333,59.42193102,60.74473565,9.124672026,8.116362929,10.25824502,60.20531401,59.49264929,60.91797873,9.915775739,8.842778318,11.11897245
48,php20689,99.42,0.591992259,0.743790307,0.629429484,0.729997082,1.294534198,0.862302202,58.89067524,58.09715973,59.68419075,10.92042705,9.636284195,12.37569632,61.32326284,60.53089974,62.11562594,11.21854574,9.937416768,12.66483749
49,umc1685,101.32,0.691995687,0.707514013,1.674703114,0.432855399,2.249145802,0.690042488,59.27464789,58.61610531,59.93319046,11.91604738,10.76052288,13.19565849,60.63800905,59.94541302,61.33060508,12.72152411,11.50931507,14.06140807
50,gpm557b,106.62,1.15287477,0.561896626,0.703873233,0.7033247,2.151301598,0.707954073,59.97022333,59.32575329,60.61469336,7.702447976,6.798275848,8.726875189,61.56176471,60.76433384,62.35919557,8.530435076,7.44612517,9.772642941
51,umc1160,106.63,1.248076263,0.535776527,0.691930277,0.707537152,2.223541215,0.694721758,59.25272331,58.6213919,59.88405473,12.06270246,10.94102189,13.29937844,60.58311346,59.81696286,61.34926405,13.24544428,11.89652963,14.74730864
52,gpm584,107.6,0.096016676,0.95312584,0.360511075,0.835056796,0.467319066,0.976603493,60.45151515,59.7466301,61.1564002,11.23841141,10.00780824,12.62033486,61.30653266,60.6083261,62.00473923,12.17316113,10.95321027,13.52898815
53,gpm346b,108.13,4.951026879,0.084119789,0.277674143,0.870369825,7.306143178,0.120567679,60.2486631,59.57752941,60.91979679,9.596942305,8.535889812,10.78988877,61.17647059,60.46701621,61.88592497,10.47360299,9.362208448,11.71693198
54,gpm33e,108.55,3.353449836,0.186985367,0.353316514,0.838066139,6.164393207,0.187203059,60.99444444,60.30063228,61.68825661,6.727436522,5.834187262,7.757447633,60.27872861,59.58352397,60.97393324,7.0631356,6.179489504,8.073140099
55,umc2224,109.23,1.298562304,0.522421183,0.33456326,0.84596133,1.77175499,0.777645692,59.1011236,58.3707966,59.83145059,10.62129547,9.442679821,11.94702348,60.83886256,60.13479596,61.54292915,11.09500495,9.958859313,12.36076652
56,gpm556,110.49,0.604350871,0.73920837,0.426100302,0.808115608,1.016970337,0.907211907,60.96111111,60.26847685,61.65374537,8.099643198,7.114211344,9.221573096,60.89766082,60.17359943,61.6217222,8.223838584,7.198994714,9.394578513
57,npi579b,110.53,0.557892305,0.756580642,0.4485764,0.799084805,0.986648277,0.911813744,58.61560694,57.86750338,59.36371049,12.6524831,11.31757359,14.14484539,60.59574468,59.88780613,61.30368323,13.21722944,11.94940933,14.61956397
58,IDP3917,115.28,1.648481143,0.438567927,1.323124518,0.516044509,2.216187551,0.69606679,59.41221374,58.70585828,60.1185692,12.12844181,10.90154836,13.49341358,60.24107143,59.55946802,60.92267484,12.47545784,11.28952956,13.78596401
59,gpm199c,115.57,1.477796961,0.477639755,1.029948117,0.597516095,1.893211121,0.755392012,60.83809524,60.06885362,61.60733686,10.31115577,9.088888362,11.69779285,59.50815217,58.78268154,60.23362281,10.48921821,9.333527738,11.78800789
60,IDP1425,118.03,1.248053341,0.535782668,1.612579584,0.446511648,2.124942232,0.712791533,59.31127451,58.61872904,60.00381998,12.66378435,11.42606439,14.0355794,60.36489607,59.67061247,61.05917967,13.06303055,11.82185781,14.43451357
61,mmp68,121.93,3.754765157,0.152990022,0.333414389,0.846447419,4.112536398,0.390989892,59.70719603,59.00555902,60.40883304,8.880530519,7.87149294,10.01891546,61.03694581,60.33488743,61.73900419,8.912192407,7.903084779,10.05014823
62,umc2225,123.03,3.828383565,0.147460965,0.051592568,0.974533598,4.604160775,0.330374739,59.13043478,58.37012859,59.89074097,9.912968076,8.754959964,11.22414454,60.93333333,60.24308662,61.62358005,9.451620367,8.389956044,10.6476276
63,csu1171,125.63,3.826860474,0.147573306,1.092516461,0.579112667,5.404149359,0.248284182,58.2639821,57.60785002,58.92011419,12.06665299,10.92002882,13.33367493,62.80371353,62.09954803,63.50787903,11.90195931,10.67581358,13.26893115
64,mmp171b,130.13,1.571481834,0.45578188,0.355495994,0.837153362,2.158311053,0.706668425,59.92009685,59.24790272,60.59229098,8.857256881,7.872154184,9.965632993,60.90263158,60.17280891,61.63245424,9.162680543,8.102886874,10.36108686
65,gpm403b,131.93,4.470998939,0.106938704,0.719808094,0.697743273,6.407609229,0.170705635,60.29439252,59.63769292,60.95109213,10.4968663,9.429564595,11.6849724,61.59292035,60.85058273,62.33525797,10.55395425,9.355998253,11.90529832
66,umc1568,140.13,3.761610591,0.152467275,0.223441022,0.894294168,4.243818808,0.374013046,59.13380282,58.46040255,59.80720308,12.56010779,11.35652997,13.89124214,61.43825666,60.7354996,62.14101372,12.89277774,11.63899795,14.28161758
67,IDP3783,140.14,3.739294455,0.154178042,0.268159007,0.874520534,4.017161684,0.403688251,58.20295983,57.5617602,58.84415946,9.226793197,8.273918275,10.28940701,61.97554348,61.22881761,62.72226935,9.438190894,8.341013916,10.67969053
68,bnlg1429,141.83,5.673791667,0.058607311,4.710522338,0.094868727,7.524004363,0.110655448,58.69214437,58.05013163,59.33415711,12.83448064,11.67040689,14.11466581,61.76762402,61.03568514,62.4995629,13.18344033,11.86418077,14.64939739
69,IDP209,144.3,2.414409044,0.29903205,1.760981546,0.414579397,4.637093257,0.326599802,58.12227074,57.46453633,58.78000515,9.106073927,8.142618258,10.18352816,61.92428198,61.20127933,62.64728464,9.145689308,8.092944124,10.33537754
70,php20640,145.23,3.880756633,0.143649594,2.798817262,0.246742837,5.909426065,0.206015269,56.87871287,56.16219858,57.59522716,8.877075799,7.861506016,10.02383953,62.92241379,62.24595788,63.5988697,7.966551916,6.989065537,9.080748934
71,lim504,149.93,3.834266313,0.147027864,0.981116563,0.612284472,4.850757356,0.302956318,58.3667426,57.69520854,59.03827666,11.27033269,10.15558368,12.50744447,62.40921409,61.69704834,63.12137985,10.98372801,9.804237669,12.30511591
72,gpm283b,151.4,2.637045855,0.267530172,0.117904124,0.942751962,2.71844076,0.605991595,59.31756757,58.65540968,59.97972546,10.29586245,9.248948404,11.4612796,63.60869565,62.8827193,64.334672,9.376465253,8.227903314,10.68535899
73,IDP343,152.71,4.704681499,0.095146188,2.153129436,0.340764138,5.922471694,0.20501343,57.89189189,57.21846843,58.56531535,9.656497703,8.642190995,10.78985039,61.86141304,61.14465353,62.57817256,9.399770528,8.32105027,10.6183334
74,IDP622,152.96,4.357724602,0.113170211,2.763263347,0.251168394,6.233937945,0.18234555,58.2139738,57.53392875,58.89401885,10.51798735,9.457259464,11.69768666,61.81462141,61.12023184,62.50901098,9.902918797,8.816120931,11.12369051
75,IDP3970,156.2,2.060468636,0.356923317,2.848000844,0.24074899,3.936206753,0.414708166,58.94458438,58.23534159,59.65382718,11.84290967,10.63579846,13.18702211,60.66666667,59.98895206,61.34438128,11.95928055,10.80331294,13.2389381
76,umc1976,158.93,0.250107388,0.882449519,0.580487893,0.748081054,0.855941612,0.930794845,59.90833333,59.21181854,60.60484813,9.449892906,8.372160931,10.66635922,59.79555556,59.11519023,60.47592088,10.20323564,9.155890702,11.37038666
77,gpm667,162.62,3.18377042,0.203541531,2.126466561,0.34533743,6.133958912,0.189365006,59.53439153,58.83302524,60.23575783,10.43759498,9.308049831,11.70421205,61.736,61.05261863,62.41938137,10.16046846,9.056771709,11.3986664
78,gpm774d,162.74,3.439566279,0.179104984,1.716373599,0.423930056,5.99621236,0.199431315,59.80835381,59.1109671,60.50574051,9.766513737,8.705890027,10.95635142,61.736,61.05265237,62.41934763,9.263800557,8.218190767,10.44244447
79,umc2226,164.13,3.730297665,0.154873158,4.70191818,0.095277738,5.562738647,0.234269498,59.56020942,58.84036623,60.28005262,10.12536914,9.009082156,11.37997173,61.07853403,60.35876943,61.79829863,10.1244006,9.008220397,11.37888318
80,mmp135,164.33,2.059496022,0.357096934,0.309914314,0.85645187,2.549366987,0.63581822,59.64483627,58.94441297,60.34525957,11.44237975,10.26581908,12.7537855,61.5811138,60.92517746,62.23705015,10.96703414,9.860257341,12.19804247
81,bnlg1127,165.83,1.153059487,0.561844733,0.844732716,0.65549385,1.296212736,0.862017769,59.30812325,58.5934031,60.0228434,12.70093442,11.39670252,14.15442184,60.26794258,59.56387148,60.97201369,13.51855305,12.23045546,14.94231159
82,bnlg1953,168.33,4.104954208,0.128416408,3.208258329,0.201064573,4.833621285,0.304798893,58.49193548,57.76413306,59.21973791,12.82873372,11.52342547,14.28189987,60.69017094,60.02815484,61.35218704,13.07968744,11.8863608,14.39281765
83,gpm768,168.34,4.693996419,0.095655871,3.076140969,0.214795152,5.2226813,0.265202505,60.20325203,59.51165275,60.89485132,6.441316595,5.574636868,7.442737609,60.995,60.28455977,61.70544023,6.760919968,5.884758489,7.767530121
84,gpm291,168.35,1.151558497,0.562266553,0.228065974,0.892228524,1.411563719,0.842182717,60.62037037,59.86010478,61.38063596,11.04590242,9.787435812,12.46618242,60.76975169,60.12034334,61.41916004,11.03380437,9.949456847,12.23633016
85,IDP4048,177.32,0.435454648,0.804344737,2.113221074,0.347632102,2.619128179,0.623438417,59.04607046,58.3268059,59.76533503,10.94969162,9.768180116,12.274113,60.48516949,59.81661492,61.15372407,11.46026021,10.35975315,12.67767313
86,IDP2552,178.95,0.153949871,0.925913061,2.268315345,0.321692978,2.458213318,0.652133649,59.19174041,58.44942521,59.93405561,12.09663392,10.79447121,13.5558796,60.30079681,59.64957074,60.95202289,12.87498001,11.72463773,14.13818611
87,npi403b,182.13,0.636372026,0.727467457,1.002411281,0.605799842,1.52285472,0.822585476,58.87323944,58.0793398,59.66713907,11.67574384,10.30198211,13.23269568,61.41399417,60.61444181,62.21354653,12.85481241,11.47091472,14.40566912
88,IDP645,193.89,1.919216532,0.383042907,2.061361052,0.356764091,4.282358644,0.369139369,60.81263158,60.19970142,61.42556174,8.660516483,7.757323035,9.668869713,58.02849003,57.23247673,58.82450333,9.492578553,8.351051034,10.79014452
89,umc76a,196.73,0.570353588,0.751881314,1.629881916,0.442665462,2.238582852,0.691972111,60.03736264,59.40741711,60.66730817,7.856892741,6.981600059,8.841922055,59.14825581,58.33771462,59.95879701,8.589076085,7.498118914,9.838764742
90,ufg78,198.03,7.624987926,0.022093011,6.789894024,0.033542331,9.470374949,0.050359549,59.71460177,59.08359228,60.34561126,11.22696416,10.14889861,12.41954709,59.84455959,59.07473531,60.61438386,12.55430335,11.25508447,14.0034962
91,cdo1387b,199.83,6.820110072,0.033039382,6.474784585,0.039266156,8.763801757,0.067282222,60.35588972,59.68518417,61.02659528,9.257462336,8.237790261,10.40334922,58.98963731,58.21852263,59.76075198,10.28735074,9.136417787,11.58326904
92,gpm518,201.34,2.378632075,0.304429411,1.273423983,0.529029019,4.786173132,0.309949293,60.680798,60.02865339,61.33294262,10.84425689,9.73793896,12.07626254,60.35190616,59.55989807,61.14391425,12.04637636,10.71960528,13.53736258
93,gpm748b,202.7,2.694341583,0.259974744,2.828649959,0.243089649,7.09417845,0.13099424,61.22222222,60.58819625,61.85624819,9.62282551,8.605806137,10.76003448,60.15302491,59.29864727,61.00740255,10.66443278,9.326068658,12.19486266
94,lim122,203.33,1.546109945,0.461600734,1.763440127,0.414070072,4.112313432,0.39101922,60.40040241,59.80316624,60.99763859,11.17683011,10.15199157,12.30512561,58.8511236,58.06556799,59.6366792,12.3528531,11.02597185,13.83941312
95,IDP2362,203.7,0.712071755,0.70044749,3.233397891,0.198553053,3.969999601,0.410081188,60.58681319,59.96002041,61.21360596,9.181005724,8.227895022,10.24452377,58.98963731,58.2185882,59.76068641,10.21631514,9.070120402,11.50735497
96,IDP2385,203.71,0.712085994,0.700442503,3.233372782,0.198555546,3.969979972,0.410083864,60.58681319,59.96002041,61.21360596,9.181005724,8.227895022,10.24452377,58.98963731,58.2185882,59.76068641,10.21631514,9.070120402,11.50735497
97,umc1073,206.84,0.232233016,0.890371482,0.85534332,0.652025466,1.091037455,0.895691595,60.23027719,59.59167121,60.86888317,10.77061832,9.726030951,11.92739563,60.14920635,59.3607321,60.9376806,10.88625881,9.61208698,12.329334
98,IDP1410,209.61,0.002483889,0.998758826,2.43494907,0.295976703,2.438537614,0.65567435,59.80923695,59.19414943,60.42432447,10.03740059,9.066439648,11.1123456,59.91836735,59.11137194,60.72536275,10.8189552,9.570737481,12.22996576
99,npi439a,215.14,0.363384395,0.833857965,1.055047406,0.590064337,1.185467545,0.880485447,59.54020619,58.88833655,60.19207582,12.86181121,11.69996874,14.13902818,60.26241135,59.4118604,61.11296229,12.79927557,11.30479288,14.49132741
100,umc230,216.74,2.079155389,0.353603979,1.354535514,0.508003086,2.81420077,0.589383902,59.74951456,59.13710421,60.36192491,11.86300857,10.80163871,13.02866873,59.63636364,58.77438344,60.49834383,12.62980903,11.16337444,14.28887626
101,umc11a,217.14,2.555565521,0.27865446,2.639757235,0.26716773,3.583371582,0.465315248,59.43008475,58.76613334,60.09403615,13.12596378,11.93181826,14.4396203,60.26595745,59.4084011,61.12351379,13.10497622,11.58360343,14.82616379
102,bnlg1484,217.34,1.248141496,0.535759052,0.720304911,0.69756997,1.707221033,0.7894055,59.64681725,59.01633567,60.27729883,12.53702891,11.40865727,13.777002,59.32170543,58.39550623,60.24790462,13.37013396,11.74520902,15.21986384
103,IDP3976,218.09,0.506633256,0.776222069,0.044028911,0.978226094,0.553760172,0.968060769,59.38121547,58.77313096,59.98929998,12.30693129,11.24086376,13.47410316,60.7147651,59.8854238,61.5441064,12.42771233,10.99698678,14.04457755
104,gpm796a,220.99,2.022220389,0.36381485,0.106284429,0.948245149,2.411257582,0.660593797,60.11111111,59.37246201,60.84976021,7.345588464,6.389330589,8.444964482,61.00411523,60.13349978,61.87473068,7.169286523,6.049938771,8.495733792
105,IDP329,221.79,1.671596436,0.433528293,0.068874945,0.966148748,1.800022828,0.772478177,58.80199667,58.21729231,59.38670103,12.53239794,11.50106155,13.6562175,62.4875,61.60729633,63.36770367,11.95182422,10.43312783,13.69158938
106,mmp66,222.74,4.30694267,0.116080503,0.046144545,0.977191857,4.641532512,0.32609364,59.80769231,59.23019569,60.38518893,9.520859925,8.637382106,10.4947046,61.05223881,60.16669593,61.93778168,9.925080795,8.608852015,11.44255107
107,AY109929,223.74,2.859919548,0.239318549,2.601688408,0.272301818,5.028200221,0.284416197,58.78875639,58.20029451,59.37721827,12.01525743,11.00101177,13.12301215,62.09881423,61.22098812,62.97664034,11.7826924,10.30160856,13.47671477
108,IDP1483,224.74,4.373169712,0.112299614,0.837644159,0.657821225,4.539576105,0.337880537,58.78434783,58.18584936,59.3828463,12.6335403,11.57440999,13.7895876,61.56573705,60.72424389,62.40723022,11.77697453,10.31523508,13.44585246
109,gpm857,225.64,2.377255912,0.304638956,0.502531057,0.777815812,2.490443207,0.646347899,60.10566038,59.507271,60.70404975,8.181001033,7.340881622,9.117267018,62.01086957,60.97795822,63.04378091,8.29276689,6.899743892,9.967034105
110,gpm559,225.98,2.290105315,0.318207161,0.473960173,0.789007,2.397980453,0.662992262,59.98403194,59.3606781,60.60738577,7.007773432,6.209784629,7.908307841,61.91666667,61.03382778,62.79950556,6.775515299,5.663874527,8.105336258
111,AY110052,227.94,2.833697367,0.242476936,0.161851751,0.922262051,3.125372779,0.537068136,59.78,59.20186735,60.35813265,12.03727054,11.03491341,13.13067685,60.41666667,59.50833825,61.32499508,11.96578368,10.42890668,13.72914568
112,gpm838a,228.09,2.603884726,0.272002951,0.713258695,0.700031918,3.362899844,0.499028406,59.82446809,59.21476573,60.43417044,9.971738164,9.042431282,10.99655158,63.08256881,62.32832454,63.83681307,7.954594761,6.796439084,9.3101074
113,IDP3914,238.65,1.347349408,0.509831651,2.632540898,0.268133457,3.583398803,0.465311183,59.67861886,59.15599479,60.20124293,12.60984311,11.68058373,13.61303056,61.35227273,59.94407097,62.76047448,11.66104923,9.321564828,14.58768689
114,AY110028,244.64,2.492951654,0.287516271,1.907900366,0.385216339,4.313822887,0.365197387,58.7511592,58.19011825,59.31220014,11.46333151,10.52237122,12.48843694,63.06748466,62.10766683,64.0273025,9.967149904,8.403541084,11.82169233
