"","names","allpos","pval"
"91","cdo1387b",199.83,0.599652895122524
"92","gpm518",201.34,0.514519846072633
"93","gpm748b",202.7,0.508791999271019
"94","lim122",203.33,0.520118892645732
"95","IDP2362",203.7,0.0881116679213827
"96","IDP2385",203.71,0.245814270051294
"97","umc1073",206.84,0.869617354772304
"98","IDP1410",209.61,0.510184056653426
"99","npi439a",215.14,0.493921354571546
"100","umc230",216.74,0.558779218374573
"101","umc11a",217.14,0.446239682227545
"102","bnlg1484",217.34,0.038121535155897
"103","IDP3976",218.09,0.66120153379209
"104","gpm796a",220.99,0.166363667266355
"105","IDP329",221.79,0.0812776523199147
"106","mmp66",222.74,0.00895167981983103
"107","AY109929",223.74,0.203291612763078
"108","IDP1483",224.74,0.186716597968207
"109","gpm857",225.64,0.140021020380219
"110","gpm559",225.98,0.152147992075775
"111","AY110052",227.94,0.242087832323355
"112","gpm838a",228.09,0.206635097724354
"113","IDP3914",238.65,0.384531681205869
"114","AY110028",244.64,0.285452966770819
"115","IDP112",251.06,0.0251987834588203
"116","IDP142",252.7,0.0265366664906532
"117","npi242b",253.54,0.0497630508459406
"118","IDP81",254.78,0.043671079424636
"119","asg26",256.24,0.00392037662440969
"120","IDP1632",256.7,0.00298201939694265
"121","lim51",257.04,0.184646422672491
"122","bnlg439",257.44,0.193382198818129
"123","bnlg1203",257.64,0.0746731605185056
"124","IDP349",257.65,0.0126729608617624
"125","AY106592",257.82,0.0246955471023913
"126","fad8",259.04,0.000912359342960523
"127","gpm121",259.55,0.000322983473298177
"128","AY110640",262.74,5.45462905567895e-05
"129","gpm357",266.43,0.00012961509149334
"130","gpm101a",267.73,2.04009519915171e-05
"131","IDP3865",268.94,0.000266344317740419
"132","umc13",268.95,0.000178361599033172
"133","gpm567",270.13,2.88880854135698e-05
"134","asg35b",272.25,3.26776345638269e-05
"135","gpm63b",273.2,0.000788268016127081
"136","gpm498c",276.24,0.0016334082031072
"137","AY110632",276.45,0.00544746137973717
"138","IDP875",277.67,0.0322113766219622
"139","AY110240",280.7,0.00757473257100372
"140","ndp2",280.95,0.153749053241223
"141","mmp23",284.55,0.337542085034532
"142","AW400087",285.55,0.415753886623836
"143","ndp1",286.95,0.57198422616663
"144","bnlg1866",288.45,0.278855979194995
"145","umc1880",288.65,0.439800466815775
"146","umc1598",289.05,0.268879526720163
"147","lim432",290.75,0.130419342146002
"148","AY107489",293.99,0.160301319621904
"149","gpm28c",294.93,0.0252535481891943
"150","mmp151a",295.55,0.020246269126672
"151","AY110393",301.15,0.00675528865121877
"152","mmp100",309.75,0.0646884141518979
"153","umc2145",317.35,0.423822638554914
"154","mmp56",319.25,0.359243484862833
"155","cdo938a",321.45,0.258367568334158
"156","bnlg2238",325.05,0.362759722465541
"157","gpm898",326.83,0.58162090336699
"158","umc2124a",326.85,0.653108881461435
"159","sus2",327.41,0.100712488896646
"160","IDP1489",328.78,0.0594657935056834
"161","umc1849",333.35,0.247550565481209
"162","asg75",334.85,0.130891157546033
"163","gpm364",335.61,0.0231978269161837
"164","sod4",335.85,0.00795152227395601
"165","chr125b",338.56,0.0774950811114958
"166","asg30b",339.05,0.0691991508851486
"167","IDP739",339.06,0.143110203388257
"168","IDP182",342.96,0.0743544461575851
"169","AY110330",348.96,0.10464743883672
"170","IDP1411",348.99,0.0884915232632271
"171","gpm492",351.93,0.3308063083563
"172","csu207",354.36,0.383564991212707
"173","gpm933",355.89,0.304344213729631
"174","umc2227",359.26,0.125284926521428
"175","IDP2553",364.8,0.162163982079337
"176","ufg13b",367.56,0.0162127797882823
"177","ufg77",371.56,0.0324668913435397
"178","umc1917",373.16,0.312677293402339
"179","isu041b",375.56,0.274808450635195
"180","ufg43",381.96,0.445372088261845
"181","bnlg1811",384.76,0.302637539998619
"182","IDP1953",387.66,0.000429967075888493
"183","IDP99",389.16,0.00289317819385748
"184","dupssr26",389.48,0.00598593705129247
"185","umc2228",390.16,0.0243874899700359
"186","IDP252",391.54,0.589489440887518
"187","gpm815a",391.64,0.0404031737201708
"188","gpm251",393.19,0.076397567671934
"189","aoc1",394.51,0.11782647592705
"190","umc2229",395.66,2.72122142133124e-05
"191","gpm850c",395.95,9.6588111619722e-05
"192","bnlg2295",396.56,7.16102559671361e-05
"193","gpm181",397.33,4.1966500839985e-05
"194","gpm532",397.34,1.87043772733597e-05
"195","gpm198",398.44,3.75704063459992e-06
"196","IDP376",398.98,2.50545077014053e-05
"197","bnlg2086",399.57,7.19243120861357e-06
"198","umc2112",399.67,1.23965071963106e-06
"199","asg3",400.27,1.82685576333164e-07
"200","IDP1986",402.87,4.98363086909315e-07
"201","csu3",403.37,7.97820012721218e-07
"202","gpm305",405.38,1.85248205886168e-07
"203","IDP1605",409.13,0.00019827468195377
"204","IDP751",410.97,1.43537524057713e-05
"205","mmp61",410.98,6.18713332567467e-07
"206","lim497",412.08,3.14746651519648e-07
"207","umc2025",415.38,3.57983973631182e-05
"208","mmp39",423.58,1.04254233102008e-05
"209","umc1515",428.98,0.000935805797167122
"210","myc7",429.58,0.00176678559319243
"211","IDP1457",430.79,0.0425050302685107
"212","gpm104",431.65,0.0793491042985905
"213","gpm787b",431.73,0.0589001111310516
"214","AY111680",431.98,0.0977728513697528
"215","IDP2367",432.06,0.1868625813636
"216","IDP2412",434.36,0.119351702334259
"217","gpm429c",434.37,0.157517565465527
"218","AY109678",435.68,0.00919461365073726
"219","IDP194",435.73,0.0107517979789326
"220","mmp143",436.28,0.002424997844378
"221","gpm540b",437.09,0.00483613368176061
"222","csu1138",437.38,0.00139058826639871
"223","rz323a",437.68,0.00764513570711833
"224","AY106439",438.38,0.007123782619612
"225","gpm519",438.44,0.0322516229635952
"226","IDP676",439.48,0.126202686477303
"227","mmp101",439.58,0.0947312209450758
"228","IDP2551",441.56,0.111717572728433
"229","IDP1407",442.3,0.102074463462429
"230","AY110396",443.88,0.00244201693249291
"231","umc1626",447.13,0.0512017020342398
"232","umc1676",449.18,0.00860525197106399
"233","IDP1675",449.2,0.00763031011896897
"234","umc2231",451.88,0.0168756911967687
"235","umc1703",452.28,0.00515456631768185
"236","AI855190",463.08,0.00154035652636253
"237","IDP653",464.32,0.00352158603669284
"238","IDP34",464.33,0.00417653039559074
"239","umc1906",465.39,0.00848276767690881
"240","umc1903a",466.29,0.00664768496568913
"241","mmp124",467.79,0.0312025531428164
"242","umc2232",469.29,0.181302328248042
"243","umc1395",470.09,0.0414924036148628
"244","umc1321",471.59,0.129655569169195
"245","umc2233",472.89,0.123384859519506
"246","umc1603",474.29,0.0055505503734038
"247","gpm692a",474.55,0.0123681874158559
"248","gpm29",479.54,0.0204739625104886
"249","gpm349",481.2,0.281704363734895
"250","gpm150b",483.14,0.150747129747417
"251","uaz276",484.29,0.0105280071429694
"252","IDP2452",488.4,0.792185388241038
"253","gpm931b",488.95,0.594117753815627
"254","mbd106",491.44,0.553367657614628
"255","gpm618",493.66,0.990262980876318
"256","umc67a",494.99,0.977939851465667
"257","IDP386",498.15,0.939945432751249
"258","gpm229",498.41,0.969257530746989
"259","gpm4",498.42,0.727958438662294
"260","umc1972",501.7,0.595408817418564
"261","IDP741",503.17,0.354817794355051
"262","IDP4037",504.06,0.161638956076617
"263","IDP4052",505.7,0.906722972572633
"264","umc1812",506.6,0.975302369111739
"265","IDP1703",509.1,0.263921359364335
"266","myb6",513.1,0.0566890745313829
"267","umc1590",515.4,0.0986687490933384
"268","AY109499",516.1,0.115991268464664
"269","AY110566",517.3,0.00630308660083301
"270","bnl5.59a",518.8,0.665972091144432
"271","IDP846",520.8,0.0286105007125064
"272","php20654",521.7,0.0451165404619269
"273","AY110296",522.3,0.0345745711863283
"274","asg58",524.1,0.0040536202306326
"275","umc1811",524.8,0.000778430032596145
"276","bnlg2057",526,9.80002183101902e-05
"277","umc2234",527.4,7.90280821751921e-05
"278","mbd119",527.67,0.000371496020836637
"279","bnlg1598",531.2,0.749605587050205
"280","umc1123",533.5,0.561092629359575
"281","AY104360",539.7,0.961958471424012
"282","mmp156",542.6,0.827365829304781
"283","bnlg1057",546.7,0.125271894214671
"284","umc1396",546.8,0.0316816782137367
"285","nact15",547.22,0.0199818696304347
"286","umc2235",548.4,0.0234403128519139
"287","umc1748",552,0.0940046404020358
"288","umc1919a",554.2,0.0552398771926025
"289","bnlg1615",556,0.358080918340254
"290","csu805",556.9,0.602255276828433
"291","gpm688",557.88,0.996672529334306
"292","gpm894",557.89,0.800590341136604
"293","gpm169",558.46,0.0297094024720357
"294","AY111153",559.41,0.980504605677757
"295","gpm906a",559.45,0.936815221812875
"296","gpm906b",561,0.133544258912503
"297","IDP168",562.02,0.256312728832609
"298","umc2151",562.31,0.546798937809789
"299","IDP2465",568.93,0.454273789094913
"300","ntf1",569.21,0.297226460489057
"301","umc58",574.31,0.080995882280307
"302","asg16b",576.61,0.100499943621522
"303","IDP790",581.55,0.630252517845085
"304","IDP4057",582.07,0.251175370994388
"305","IDP438",585.41,0.525271139508798
"306","IDP295",586.3,0.660432360828191
"307","umc1709",586.61,0.5215358926674
"308","php20644",588.01,0.497289903740398
"309","umc1924",592.21,0.472635694752225
"310","ufg50",595.91,0.456868215654136
"311","uaz147b",598.41,0.658612534470717
"312","gpm136",601,0.915829587020972
"313","csu1132",602.21,0.873730273735923
"314","umc2236",603.21,0.854544799132209
"315","umc1925",604.91,0.906778780343585
"316","asg62",605.71,0.876629345558832
"317","IDP1972",606.8,0.821131020969581
"318","gpm260a",607.21,0.873574792763872
"319","gpm820f",608.19,0.897773241975811
"320","umc2237",616.91,0.441636414168034
"321","umc2239",629.01,0.000198225734835855
"322","gpm192",630.33,1.87625692036342e-05
"323","gpm96",631.43,1.02569993187807e-06
"324","umc2238",636.71,1.13552512870374e-06
"325","IDP1656",637.8,3.7513882664042e-05
"326","IDP716",639.93,9.33938670466539e-06
"327","csu374b",640.71,3.14716989013863e-06
"328","IDP198",644.4,2.25544663323696e-05
"329","bcd98a",647.91,0.000503024172293864
"330","umc1358",651.81,0.164324991813351
"331","AY111834",655.11,0.140431700364241
"332","bnlg1556",657.01,0.161844048702036
"333","gpm420b",659.31,0.487709611377398
"334","dmt103c",666.14,0.382619176243922
"335","IDP243",667.72,0.629005898463124
"336","umc23a",668.61,0.270691953241095
"337","IDP3873",674.22,0.650020428481262
"338","gpm852",678.16,1.91374326403704e-05
"339","hmga102",682.49,0.130560005336041
"340","gpm802",683.08,0.0593575728004476
"341","lim442",683.61,0.11921280211666
"342","gpm440",687.81,0.055617072216253
"343","gpm415a",687.82,0.0631683252103069
"344","gpm63a",687.83,0.0797198697350143
"345","IDP856",691.85,0.11313725058951
"346","mmp173",692.03,0.0173829837796882
"347","php20661",698.33,0.0514861838942737
"348","bnlg1025",698.93,0.0530238125840784
"349","IDP644",698.96,0.0426546650192218
"350","bcd207a",701.93,0.0260973125286692
"351","AY110356",704.83,0.0105068696845816
"352","umc1128",709.93,0.00340563662351101
"353","IDP640",714.62,0.000911419233735611
"354","IDP2492",715.86,2.22699875944699e-05
"355","bcd386a",716.23,4.8998740520334e-05
"356","bnlg1564",716.93,4.92391613133858e-05
"357","IDP820",717.45,3.68738972400529e-05
"358","npi447a",718.73,0.000125498479116692
"359","phi002",719.33,0.000118172328117505
"360","umc1245",720.33,0.000109586576536369
"361","AY105132",720.5,0.000102102407748994
"362","IDP1982",720.51,0.000154127971799811
"363","AY110159",720.74,7.30316538222198e-05
"364","umc128a",720.84,3.14189194536851e-05
"365","umc37a",724.54,1.6657151130639e-06
"366","AY110313",733.64,7.06548181517164e-07
"367","IDP126",736.62,7.02715277989263e-06
"368","AY110191",738.84,0.000151133866875375
"369","cdo98b",743.14,0.000223262976468352
"370","umc1998",746.34,8.01368864711272e-07
"371","mmp99",748.44,0.00100508268241017
"372","gpm389a",750.71,4.49746183628363e-08
"373","bnlg2228",753.64,0.0866337202088052
"374","umc83a",754.94,0.0956933859143967
"375","lim254",758.74,2.9895446118644e-09
"376","chr124",760.64,1.04264992568659e-05
"377","npi120",764.34,1.04216129392931e-06
"378","ufg61",766.67,2.91360898740933e-07
"379","bnlg1643",766.98,3.85808137659538e-07
"380","umc2080",767.84,3.74099929278948e-06
"381","umc1955",768.84,2.80532898710995e-06
"382","gpm819",770.49,0.000560056591835556
"383","gpm243b",772.83,0.000806266586157567
"384","umc2181",772.94,0.00553070816086298
"385","IDP707",773.76,0.00049464606927585
"386","umc1838a",775.84,0.00049464606927585
"387","IDP512",776.78,1.59692432667446e-05
"388","umc1446",780.04,1.84368294725568e-05
"389","umc1928",781.64,2.69442386535701e-05
"390","mmp22",783.14,1.42203101246574e-05
"391","IDP669",783.74,3.14511603226597e-05
"392","an1",783.75,3.00937163595361e-05
"393","IDP3997",785.84,1.67695929753631e-06
"394","sdg123",791.85,7.19037507646014e-07
"395","gpm547c",794.32,6.91076027514725e-08
"396","umc1991",799.15,4.80208125486214e-08
"397","IDP1468",800.91,4.92286700293221e-09
"398","gpm608",802.41,1.08468789505878e-12
"399","umc1383",803.75,9.48130463029884e-13
"400","umc2240",804.95,1.06348263528844e-12
"401","umc1914",808.35,1.51930690250879e-11
"402","AY106137",808.46,1.72218905802879e-11
"403","IDP630",808.81,1.5322965118969e-11
"404","AY109506",809.45,1.39810385491046e-11
"405","nfc103a",809.71,1.41473499581934e-11
"406","gpm838c",810.37,1.53156820559275e-10
"407","cdj2",810.75,2.5476351805942e-08
"408","ufg53",813.65,4.90904306094109e-08
"409","IDP3841",816.54,1.36434641362371e-09
"410","csu696",819.95,6.95155821794913e-10
"411","rz403",824.25,1.7816970121487e-10
"412","IDP3803",827.04,7.82504951946095e-08
"413","chrom7",831.45,2.18618423364347e-08
"414","glb1",837.75,7.12118533030548e-08
"415","umc2047",840.75,8.71188698958747e-09
"416","IDP2516",841.93,8.71188698958747e-09
"417","gpm138b",842.79,2.68044118012511e-08
"418","IDP3798",843.45,3.54905476118716e-08
"419","umc140a",844.55,3.60203601390552e-08
"420","bnlg1331",845.45,3.07329826032543e-08
"421","AY110452",853.85,0.00202426092501984
"422","IDP3993",857.65,0.00376789910158415
"423","gpm129",864.62,0.00430271639747093
"424","AY112283",867.66,0.0123863738965756
"425","IDP2347",870.75,0.0123057734616433
"426","IDP340",872.97,0.00151405981532227
"427","d8",875.24,0.00130951783452704
"428","mmp195d",878.15,0.000572253872895834
"429","tb1",881.15,0.000700791816787394
"430","gpm350a",883.48,0.052553419709666
"431","IDP437",885.15,0.066334513989951
"432","chb101b",886.32,0.110709340260599
"433","IDP3977",888.35,0.110722868663228
"434","AI665421",888.36,0.111222391319862
"435","AY110019",889.36,0.111566780333532
"436","IDP1636",889.37,0.111566780333532
"437","gpm266",889.75,0.0567327679331562
"438","gpm277",889.76,0.0567327679331562
"439","bcd808a",890.17,0.118398048859348
"440","gpm801a",890.35,0.118398048859348
"441","gpm660a",890.57,0.118398048859348
"442","nfa103a",890.58,0.118398048859348
"443","umc2189",890.68,0.118398048859348
"444","gpm521a",891.3,0.239413130515812
"445","gpm663a",894.95,0.705786380225699
"446","umc2149",897.18,0.934617081686064
"447","AY104234",897.19,0.934617081686064
"448","mmp83",897.69,0.971277838909154
"449","IDP527",900.59,0.828745518019438
"450","adh1",900.6,0.828745518019438
"451","gpm85",902.62,0.904080020244151
"452","BE639426",905.6,0.986642709479149
"453","gpm862",905.85,0.0673117017923689
"454","hxa102b",911.9,0.965131936241657
"455","mmp172",913.7,0.976160901806451
"456","npi407",915.2,0.665769116182865
"457","vef101b",922.53,0.272008614287908
"458","lim99a",924.8,0.578101290270025
"459","npi282b",926.4,0.578101290270025
"460","IDP1420",928.48,0.625597283793452
"461","lim78",929,0.62389880141169
"462","gpm623",934.56,0.167477405729779
"463","mmp165",938.2,0.202194829813095
"464","IDP3843",940.48,0.529041731048593
"465","mmp87",940.9,0.526538481136384
"466","IDP2395",944.11,0.635304387501692
"467","lim39",948.7,0.630061998043361
"468","gpm610a",949.3,0.507041952205959
"469","bnl7.25a",949.7,0.416069534378058
"470","gpm164b",949.97,0.0784027234134121
"471","IDP195",950.91,0.381311088408754
"472","IDP2450",951.38,0.0925203248004149
"473","IDP823",951.82,0.236619836842163
"474","umc257",961.7,0.222555127250642
"475","AY109834",968.5,0.50707719462965
"476","IDP870",971.46,0.603758505471
"477","AY110426",985.8,0.0489421561948478
"478","ufg14",993.5,0.700492831641497
"479","IDP3913",999.38,0.944728340604474
"480","mmp195g",999.4,0.944728340604474
"481","npi238",1004.6,0.709019148395425
"482","jpsb239b",1005.1,0.735427847693886
"483","IDP1975",1006.1,0.773146804630659
"484","IDP3856",1010.93,0.295977584450146
"485","gpm217a",1014.67,0.338022281774065
"486","umc1129",1017.6,0.591030421889256
"487","IDP691",1018.18,0.591523555786484
"488","bnl8.29a",1019.9,0.599597731765538
"489","IDP806",1020.8,0.594068859430302
"490","umc1111",1021.1,0.437690424085865
"491","hon110",1023.27,0.437690424085865
"492","npi241a",1024.2,0.437690424085865
"493","IDP538",1024.98,0.464436806876381
"494","umc2241",1029.5,0.155856620138808
"495","umc1118",1032.8,0.324623730583113
"496","mtf1",1034.39,0.00137843795946824
"497","AY110479",1038.2,0.0183262388064759
"498","IDP1633",1041.69,0.106302280608532
"499","umc1744",1049.6,0.00383521908533824
"500","IDP2440",1050.49,0.07134524839088
"501","IDP3868",1051.71,0.07134524839088
"502","umc84a",1052.7,0.07134524839088
"503","umc86a",1053.2,0.0595550131432239
"504","gpm765c",1053.34,0.0595550131432239
"505","AY106825",1054.4,0.0794574541507322
"506","php15058",1056.3,0.0331569672566496
"507","AY109128",1058.05,0.0768261568864486
"508","IDP772",1058.06,0.0739793700799734
"509","AY110160",1062.31,0.0394951516403426
"510","AY112175",1062.32,0.0394951516403426
"511","lim228",1090.92,0.810379262804195
"512","gpm548a",1093.89,0.634303904581721
"513","umc1331",1095.02,0.962872750465729
"514","csu1089",1096.52,0.969167472989126
"515","fdx3",1096.92,0.96885631277843
"516","umc2045",1097.82,0.968026516454347
"517","cesa6",1100.02,0.83641719077765
"518","gpm671a",1100.03,0.83641719077765
"519","phi064",1101.53,0.775841405541591
"520","gpm469",1101.54,0.550113923582079
"521","IDP72",1102.87,0.395043711102458
"522","gpm308a",1104.3,0.2407849253314
"523","IDP1478",1108.73,0.22421246095927
"524","bnl6.32",1111.73,0.284801504615216
"525","IDP2400",1114.71,0.441694703708689
"526","umc1605",1115.63,0.851656931538258
"527","umc1819",1117.73,0.740848028261743
"528","umc2244",1118.83,0.850224665857593
"529","AY110983",1119.72,0.518975078353077
"530","AY109916",1136.43,0.257418538318558
"531","gpm201b",1140,0.00937530961654609
"532","AY110535",1141,0.813159260921913
"533","umc2246",1144.1,0.926902753565959
"534","isu53a",1144.8,0.979181985172748
"535","gpm71",1149.61,0.552646486819798
"536","IDP53",1157.21,0.287637417333179
"537","IDP2371",1157.22,0.208892998590425
"538","gpm180b",1164.48,0.065198054896725
"539","isu144a",1168.41,0.445722808365818
"540","umc2245",1171.91,0.512717500695297
"541","IDP776",1175.26,0.183301199644287
"542","jpsb485b",1184.31,0.50618012513289
"543","IDP1702",1189.53,0.983395823837362
"544","IDP677",1191.59,0.822876741368374
"545","umc53a",1191.91,0.0878579252790845
"546","gpm691b",1192.8,0.581326410992693
"547","gpm156a",1193.6,0.0261751798054541
"548","npi254a",1196.61,0.293437190189177
"549","umc1542",1198.61,0.205745664711685
"550","bnlg1297",1200.91,0.101665173940247
"551","bnlg1017",1206.71,0.0115473334116593
"552","gpm86",1210.84,0.00960529475881899
"553","IDP1683",1211.58,0.00227780805173472
"554","umc1980",1216.61,0.0375736897742822
"555","umc1265",1218.71,0.347502822147746
"556","gpm470",1222.89,0.447645664130709
"557","AY109603",1223.31,0.280628806751218
"558","BE640649",1228.81,0.358665988482954
"559","npi208c",1231.31,0.370955475147997
"560","IDP4073",1231.56,0.334105345332158
"561","gpm762a",1233,0.753695150256737
"562","umc1961",1233.01,0.85995243958923
"563","gpm273a",1233.23,0.937375233320319
"564","umc1824a",1233.61,0.797692880753928
"565","mmc0111",1234.31,0.940174445512231
"566","IDP232",1234.32,0.6641343265714
"567","AY109516",1235.41,0.931687690254268
"568","dmt102b",1235.44,0.65130340444215
"569","gpm914a",1243.54,0.78381885335831
"570","IDP2388",1249.3,1
"571","gpm398c",1255.38,0.00769815560974152
"572","eks1",1263.41,0.00207780829116144
"573","bnlg2277",1284.11,2.48692177962084e-11
"574","gpm786",1284.34,5.68606695061646e-09
"575","gpm575a",1284.4,2.39162112336544e-09
"576","IDP4006",1287.92,8.54218720203193e-08
"577","bnlg1327",1289.11,1.49384116299167e-07
"578","myb5",1290.21,2.84680126121373e-05
"579","IDP225",1292.04,1.80554793338672e-10
"580","gpm77",1293.42,1.61685109745235e-11
"581","umc1262a",1294.11,7.13207271019201e-13
"582","umc1261a",1295.61,1.85962356624714e-12
"583","gpm7",1298.15,7.20534742981727e-14
"584","gpm216a",1302.04,6.69087008020597e-11
"585","IDP2390",1304.33,8.10913558524362e-11
"586","AY106040",1304.51,1.61828328515412e-11
"587","gpm31a",1305.81,1.5625167826272e-11
"588","umc6a",1305.82,1.62083679811076e-09
"589","gpm753f",1314.25,7.7203835220363e-06
"590","IDP591",1315.17,5.28217427275823e-05
"591","IDP1954",1316.37,5.1700773939789e-06
"592","IDP3802",1316.7,7.29149673972529e-09
"593","IDP601",1318.06,1.28629511153555e-05
"594","gpm359d",1319.74,2.39711883232019e-07
"595","mmc0231a",1320.42,9.58112097553254e-05
"596","umc44b",1323.32,0.000156316721278138
"597","gpm651b",1325.03,0.00895317484801805
"598","nfd102",1327.22,0.000546992537962421
"599","gpm328b",1327.67,0.00132207249690286
"600","gpm69",1332.52,4.740198680242e-06
"601","IDP668",1332.93,6.91689408127694e-06
"602","umc61",1334.32,1.30192366516457e-05
"603","umc2195",1337.35,0.000131953925434081
"604","mmp33",1344.12,1.16342341054398e-05
"605","psr901",1353.22,0.0620130499587895
"606","ufg28b",1357.02,0.136881964704745
"607","ole1",1357.52,0.239006053960256
"608","npi587",1357.82,0.303861592433249
"609","mmp42",1359.72,0.28917558179046
"610","AI920398",1362.42,0.981880282253324
"611","sdg104",1364.27,0.473584106128851
"612","IDP2485",1367.02,0.918688624413283
"613","bnlg1064",1368.12,0.608572709912493
"614","AY107034",1371.08,0.895010779473931
"615","sdg107",1373.56,0.874937080401453
"616","AY104214",1377.42,0.606315459665185
"617","umc34",1384.32,0.404514860301314
"618","gpm106a",1385.12,0.976182415701918
"619","bnlg381",1385.72,0.946422879807288
"620","IDP1453",1386.26,0.995791423863268
"621","gpm117f",1387.42,0.989414507831872
"622","npi607",1388.22,0.533936355873331
"623","umc1024",1391.12,0.778689068690608
"624","gpm268a",1397.06,0.551638159421149
"625","AY103944",1398.22,0.337191023422021
"626","AY110266",1403.62,0.058427146391212
"627","sam2",1407.82,0.814523134810259
"628","IDP3858",1407.83,0.85286326589396
"629","isu58a",1408.52,0.156722060392219
"630","umc2248",1408.82,0.31099169886916
"631","umc259b",1409.42,0.73699688511061
"632","umc1448",1410.62,0.851126833790381
"633","gpm460a",1411.99,0.955479418939169
"634","hag103a",1413.22,0.536012163376447
"635","umc1541",1415.92,0.543729849450327
"636","mmp122",1416.62,0.197446251863426
"637","IDP2407",1417,0.326617092485319
"638","IDP3777",1420.37,0.956224877282212
"639","mmp167",1422.32,0.745097376066951
"640","prp2",1425.72,0.764543060646627
"641","gpm820d",1429.17,0.813715933544524
"642","umc134b",1429.82,0.129743115629946
"643","grf1",1433.52,0.185924186136331
"644","gpm292b",1434.14,0.329341616485713
"645","lim86",1434.82,0.4906663684615
"646","bnlg1018",1435.22,0.178642472060689
"647","gpm119",1435.83,0.0462296051728227
"648","bnlg1175",1436.12,0.00492745925450733
"649","umc2251",1436.82,0.00658942254677763
"650","AI714808",1437.13,0.0185017070003313
"651","umc2249",1437.32,0.0134221610887655
"652","mmp91",1443.62,4.88140541321513e-08
"653","gpm594",1444.02,1.12996773493634e-07
"654","IDP2346",1445.67,4.51653282662612e-07
